timestamp, temperature.gpu, power.draw [W], power.limit [W], utilization.gpu [%], memory.used [MiB], fan.speed [%], pcie.link.gen.current, clocks_event_reasons.active
2026/09/14 03:08:23.090, 33, 11.82 W, 250.00 W, 0 %, 1 MiB, 0 %, 1, 0x0000000000000001
2026/09/14 03:08:33.101, 37, 114.18 W, 250.00 W, 0 %, 508 MiB, 0 %, 4, 0x0000000000000000
2026/09/14 03:08:43.103, 46, 248.29 W, 250.00 W, 97 %, 6672 MiB, 0 %, 4, 0x0000000000000004
2026/09/14 03:08:53.106, 49, 248.17 W, 250.00 W, 97 %, 6672 MiB, 0 %, 4, 0x0000000000000004
2026/09/14 03:09:03.108, 52, 248.90 W, 250.00 W, 97 %, 6672 MiB, 0 %, 4, 0x0000000000000004
2026/09/14 03:09:13.111, 55, 248.28 W, 250.00 W, 95 %, 6672 MiB, 65 %, 4, 0x0000000000000004
2026/09/14 03:09:23.113, 56, 247.74 W, 250.00 W, 94 %, 6672 MiB, 62 %, 4, 0x0000000000000004
2026/09/14 03:09:33.116, 56, 248.99 W, 250.00 W, 95 %, 6672 MiB, 63 %, 4, 0x0000000000000004
2026/09/14 03:09:43.118, 57, 248.12 W, 250.00 W, 97 %, 6672 MiB, 63 %, 4, 0x0000000000000004
2026/09/14 03:09:53.120, 57, 248.55 W, 250.00 W, 94 %, 6672 MiB, 64 %, 4, 0x0000000000000004
2026/09/14 03:10:03.123, 58, 247.87 W, 250.00 W, 97 %, 6672 MiB, 64 %, 4, 0x0000000000000004
2026/09/14 03:10:13.126, 58, 248.09 W, 250.00 W, 95 %, 6672 MiB, 65 %, 4, 0x0000000000000004
2026/09/14 03:10:23.128, 58, 248.55 W, 250.00 W, 95 %, 6672 MiB, 65 %, 4, 0x0000000000000004
2026/09/14 03:10:33.131, 58, 249.44 W, 250.00 W, 93 %, 6672 MiB, 66 %, 4, 0x0000000000000004
2026/09/14 03:10:43.133, 59, 248.86 W, 250.00 W, 92 %, 6672 MiB, 66 %, 4, 0x0000000000000004
2026/09/14 03:10:53.136, 59, 248.37 W, 250.00 W, 95 %, 6672 MiB, 66 %, 4, 0x0000000000000004
2026/09/14 03:11:03.138, 59, 248.74 W, 250.00 W, 97 %, 6672 MiB, 66 %, 4, 0x0000000000000004
2026/09/14 03:11:13.140, 59, 249.03 W, 250.00 W, 94 %, 6672 MiB, 67 %, 4, 0x0000000000000004
2026/09/14 03:11:23.143, 59, 247.90 W, 250.00 W, 95 %, 6672 MiB, 67 %, 4, 0x0000000000000004
2026/09/14 03:11:33.145, 59, 248.99 W, 250.00 W, 95 %, 6672 MiB, 67 %, 4, 0x0000000000000004
2026/09/14 03:11:43.147, 59, 248.14 W, 250.00 W, 100 %, 6672 MiB, 67 %, 4, 0x0000000000000004
2026/09/14 03:11:53.149, 60, 248.43 W, 250.00 W, 94 %, 6672 MiB, 67 %, 4, 0x0000000000000004
2026/09/14 03:12:03.152, 60, 249.76 W, 250.00 W, 93 %, 6672 MiB, 67 %, 4, 0x0000000000000004
2026/09/14 03:12:13.154, 60, 249.41 W, 250.00 W, 97 %, 6672 MiB, 67 %, 4, 0x0000000000000004
2026/09/14 03:12:23.157, 60, 249.83 W, 250.00 W, 94 %, 6672 MiB, 68 %, 4, 0x0000000000000004
2026/09/14 03:12:33.159, 60, 249.07 W, 250.00 W, 95 %, 6672 MiB, 68 %, 4, 0x0000000000000004
2026/09/14 03:12:43.162, 60, 247.94 W, 250.00 W, 96 %, 6672 MiB, 68 %, 4, 0x0000000000000004
2026/09/14 03:12:53.164, 60, 247.43 W, 250.00 W, 97 %, 6672 MiB, 68 %, 4, 0x0000000000000004
2026/09/14 03:13:03.166, 60, 248.32 W, 250.00 W, 90 %, 6672 MiB, 68 %, 4, 0x0000000000000004
2026/09/14 03:13:13.168, 60, 248.35 W, 250.00 W, 96 %, 6672 MiB, 68 %, 4, 0x0000000000000004
2026/09/14 03:13:23.170, 60, 248.22 W, 250.00 W, 98 %, 6672 MiB, 68 %, 4, 0x0000000000000004
2026/09/14 03:13:33.173, 60, 249.01 W, 250.00 W, 95 %, 6672 MiB, 68 %, 4, 0x0000000000000004
2026/09/14 03:13:43.175, 60, 249.01 W, 250.00 W, 96 %, 6672 MiB, 68 %, 4, 0x0000000000000004
2026/09/14 03:13:53.177, 60, 248.54 W, 250.00 W, 95 %, 6672 MiB, 68 %, 4, 0x0000000000000004
2026/09/14 03:14:03.179, 60, 248.20 W, 250.00 W, 99 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:14:13.181, 60, 249.44 W, 250.00 W, 95 %, 6672 MiB, 68 %, 4, 0x0000000000000004
2026/09/14 03:14:23.184, 60, 248.28 W, 250.00 W, 95 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:14:33.186, 60, 247.93 W, 250.00 W, 92 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:14:43.188, 60, 249.42 W, 250.00 W, 91 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:14:53.191, 60, 248.76 W, 250.00 W, 94 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:15:03.193, 60, 247.89 W, 250.00 W, 99 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:15:13.196, 60, 249.64 W, 250.00 W, 95 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:15:23.198, 60, 248.39 W, 250.00 W, 98 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:15:33.200, 60, 249.21 W, 250.00 W, 95 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:15:43.203, 60, 248.85 W, 250.00 W, 96 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:15:53.205, 61, 248.10 W, 250.00 W, 99 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:16:03.208, 61, 249.73 W, 250.00 W, 95 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:16:13.210, 61, 249.26 W, 250.00 W, 96 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:16:23.212, 60, 248.61 W, 250.00 W, 95 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:16:33.214, 61, 249.02 W, 250.00 W, 96 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:16:43.217, 61, 249.38 W, 250.00 W, 95 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:16:53.219, 60, 249.73 W, 250.00 W, 96 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:17:03.221, 61, 248.47 W, 250.00 W, 99 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:17:13.224, 61, 248.85 W, 250.00 W, 96 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:17:23.227, 61, 249.25 W, 250.00 W, 95 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:17:33.229, 60, 249.15 W, 250.00 W, 95 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:17:43.231, 60, 248.48 W, 250.00 W, 95 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:17:53.233, 61, 248.84 W, 250.00 W, 96 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:18:03.236, 61, 248.33 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:18:13.237, 60, 248.89 W, 250.00 W, 99 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:18:23.240, 60, 248.82 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:18:33.242, 60, 249.00 W, 250.00 W, 99 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:18:43.245, 60, 248.45 W, 250.00 W, 96 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:18:53.247, 60, 249.82 W, 250.00 W, 100 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:19:03.250, 60, 249.30 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:19:13.252, 60, 249.98 W, 250.00 W, 99 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:19:23.254, 60, 248.70 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:19:33.257, 60, 249.83 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:19:43.259, 60, 248.60 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:19:53.261, 60, 248.39 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:20:03.263, 60, 249.78 W, 250.00 W, 99 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:20:13.265, 60, 248.31 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:20:23.268, 60, 249.46 W, 250.00 W, 96 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:20:33.270, 60, 248.76 W, 250.00 W, 97 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:20:43.272, 60, 248.94 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:20:53.275, 60, 249.93 W, 250.00 W, 99 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:21:03.278, 60, 248.40 W, 250.00 W, 94 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:21:13.280, 60, 248.69 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:21:23.283, 60, 249.01 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:21:33.285, 60, 247.58 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:21:43.288, 60, 249.18 W, 250.00 W, 99 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:21:53.290, 60, 248.69 W, 250.00 W, 96 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:22:03.293, 60, 248.14 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:22:13.295, 60, 249.22 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:22:23.297, 60, 247.66 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:22:33.299, 61, 249.05 W, 250.00 W, 99 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:22:43.302, 61, 248.44 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:22:53.304, 61, 248.05 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:23:03.306, 61, 249.66 W, 250.00 W, 99 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:23:13.308, 61, 248.42 W, 250.00 W, 96 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:23:23.310, 60, 248.23 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:23:33.312, 61, 249.32 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:23:43.315, 61, 248.64 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:23:53.317, 61, 248.23 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:24:03.320, 60, 248.06 W, 250.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:24:13.322, 60, 248.93 W, 250.00 W, 99 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:24:23.325, 58, 212.76 W, 250.00 W, 0 %, 6680 MiB, 70 %, 4, 0x0000000000000004
