width,fov_deg,mount_deg,altitude_m,f_px,range_m,standing_px,lying_min_px,lying_max_px,min_px,max_px
1920,75.0,90,10,1251,10.0,101.3,212.7,212.7,101.3,212.7
1920,75.0,90,15,1251,15.0,67.6,141.8,141.8,67.6,141.8
1920,75.0,90,20,1251,20.0,50.7,106.3,106.3,50.7,106.3
1920,75.0,90,25,1251,25.0,40.5,85.1,85.1,40.5,85.1
1920,75.0,90,30,1251,30.0,33.8,70.9,70.9,33.8,70.9
1920,75.0,90,35,1251,35.0,29.0,60.8,60.8,29.0,60.8
1920,75.0,90,40,1251,40.0,25.3,53.2,53.2,25.3,53.2
1920,75.0,75,10,1251,10.4,147.7,205.4,207.8,147.7,207.8
1920,75.0,75,15,1251,15.5,98.5,137.0,138.5,98.5,138.5
1920,75.0,75,20,1251,20.7,73.9,102.7,103.9,73.9,103.9
1920,75.0,75,25,1251,25.9,59.1,82.2,83.1,59.1,83.1
1920,75.0,75,30,1251,31.1,49.2,68.5,69.3,49.2,69.3
1920,75.0,75,35,1251,36.2,42.2,58.7,59.4,42.2,59.4
1920,75.0,75,40,1251,41.4,36.9,51.4,52.0,36.9,52.0
1920,75.0,60,10,1251,11.5,168.1,175.8,184.2,168.1,184.2
1920,75.0,60,15,1251,17.3,112.1,117.2,122.8,112.1,122.8
1920,75.0,60,20,1251,23.1,84.1,87.9,92.1,84.1,92.1
1920,75.0,60,25,1251,28.9,67.2,70.3,73.7,67.2,73.7
1920,75.0,60,30,1251,34.6,56.0,58.6,61.4,56.0,61.4
1920,75.0,60,35,1251,40.4,48.0,50.2,52.6,48.0,52.6
1920,75.0,60,40,1251,46.2,42.0,43.9,46.0,42.0,46.0
1920,75.0,45,10,1251,14.1,157.0,125.1,150.4,125.1,157.0
1920,75.0,45,15,1251,21.2,104.7,83.4,100.3,83.4,104.7
1920,75.0,45,20,1251,28.3,78.5,62.6,75.2,62.6,78.5
1920,75.0,45,25,1251,35.4,62.8,50.0,60.2,50.0,62.8
1920,75.0,45,30,1251,42.4,52.3,41.7,50.1,41.7,52.3
1920,75.0,45,35,1251,49.5,44.9,35.7,43.0,35.7,44.9
1920,75.0,45,40,1251,56.6,39.3,31.3,37.6,31.3,39.3
1920,75.0,30,10,1251,20.0,117.4,69.4,106.3,69.4,117.4
1920,75.0,30,15,1251,30.0,78.3,46.3,70.9,46.3,78.3
1920,75.0,30,20,1251,40.0,58.7,34.7,53.2,34.7,58.7
1920,75.0,30,25,1251,50.0,47.0,27.8,42.5,27.8,47.0
1920,75.0,30,30,1251,60.0,39.1,23.1,35.4,23.1,39.1
1920,75.0,30,35,1251,70.0,33.6,19.8,30.4,19.8,33.6
1920,75.0,30,40,1251,80.0,29.4,17.4,26.6,17.4,29.4
1920,90.0,90,10,960,10.0,77.8,163.2,163.2,77.8,163.2
1920,90.0,90,15,960,15.0,51.8,108.8,108.8,51.8,108.8
1920,90.0,90,20,960,20.0,38.9,81.6,81.6,38.9,81.6
1920,90.0,90,25,960,25.0,31.1,65.3,65.3,31.1,65.3
1920,90.0,90,30,960,30.0,25.9,54.4,54.4,25.9,54.4
1920,90.0,90,35,960,35.0,22.2,46.6,46.6,22.2,46.6
1920,90.0,90,40,960,40.0,19.4,40.8,40.8,19.4,40.8
1920,90.0,75,10,960,10.4,113.4,157.6,159.5,113.4,159.5
1920,90.0,75,15,960,15.5,75.6,105.1,106.3,75.6,106.3
1920,90.0,75,20,960,20.7,56.7,78.8,79.7,56.7,79.7
1920,90.0,75,25,960,25.9,45.3,63.1,63.8,45.3,63.8
1920,90.0,75,30,960,31.1,37.8,52.5,53.2,37.8,53.2
1920,90.0,75,35,960,36.2,32.4,45.0,45.6,32.4,45.6
1920,90.0,75,40,960,41.4,28.3,39.4,39.9,28.3,39.9
1920,90.0,60,10,960,11.5,129.0,134.9,141.3,129.0,141.3
1920,90.0,60,15,960,17.3,86.0,89.9,94.2,86.0,94.2
1920,90.0,60,20,960,23.1,64.5,67.4,70.7,64.5,70.7
1920,90.0,60,25,960,28.9,51.6,53.9,56.5,51.6,56.5
1920,90.0,60,30,960,34.6,43.0,45.0,47.1,43.0,47.1
1920,90.0,60,35,960,40.4,36.9,38.5,40.4,36.9,40.4
1920,90.0,60,40,960,46.2,32.2,33.7,35.3,32.2,35.3
1920,90.0,45,10,960,14.1,120.5,96.0,115.4,96.0,120.5
1920,90.0,45,15,960,21.2,80.3,64.0,76.9,64.0,80.3
1920,90.0,45,20,960,28.3,60.2,48.0,57.7,48.0,60.2
1920,90.0,45,25,960,35.4,48.2,38.4,46.2,38.4,48.2
1920,90.0,45,30,960,42.4,40.2,32.0,38.5,32.0,40.2
1920,90.0,45,35,960,49.5,34.4,27.4,33.0,27.4,34.4
1920,90.0,45,40,960,56.6,30.1,24.0,28.8,24.0,30.1
1920,90.0,30,10,960,20.0,90.1,53.3,81.6,53.3,90.1
1920,90.0,30,15,960,30.0,60.1,35.5,54.4,35.5,60.1
1920,90.0,30,20,960,40.0,45.1,26.6,40.8,26.6,45.1
1920,90.0,30,25,960,50.0,36.0,21.3,32.6,21.3,36.0
1920,90.0,30,30,960,60.0,30.0,17.8,27.2,17.8,30.0
1920,90.0,30,35,960,70.0,25.7,15.2,23.3,15.2,25.7
1920,90.0,30,40,960,80.0,22.5,13.3,20.4,13.3,22.5
