group,n,corr_cy_px,bottom_over_top,verdict,px_median
NOMAD Actor001_a10,150,0.5389,2.076,비스듬(아래가 큼),161.5
NOMAD Actor001_a30,150,0.0637,1.172,수직 하향에 가까움,53.0
NOMAD Actor001_a50,150,0.1125,1.036,수직 하향에 가까움,34.5
NOMAD Actor001_a70,150,0.0238,0.787,수직 하향에 가까움,22.0
NOMAD Actor001_a90,150,-0.1396,0.618,수직 하향에 가까움,16.0
NOMAD Actor002_a10,85,-0.2794,0.661,수직 하향에 가까움,202.0
NOMAD Actor002_a30,85,-0.3568,0.795,비스듬(위가 큼),81.0
NOMAD Actor002_a50,85,-0.3622,0.746,비스듬(위가 큼),44.0
NOMAD Actor002_a70,85,-0.4735,0.805,비스듬(위가 큼),36.0
NOMAD Actor002_a90,85,-0.5376,0.545,비스듬(위가 큼),23.0
NOMAD Actor003_a10,85,0.2107,0.979,수직 하향에 가까움,295.0
NOMAD Actor003_a30,85,-0.1369,0.851,수직 하향에 가까움,104.0
NOMAD Actor003_a50,85,-0.1249,0.809,수직 하향에 가까움,59.0
NOMAD Actor003_a70,85,0.1934,1.323,수직 하향에 가까움,41.0
NOMAD Actor003_a90,85,-0.171,0.744,수직 하향에 가까움,35.0
NOMAD Actor004_a10,85,0.2082,2.263,수직 하향에 가까움,255.0
NOMAD Actor004_a30,85,0.1032,1.694,수직 하향에 가까움,73.0
NOMAD Actor004_a50,85,0.1513,1.325,수직 하향에 가까움,49.0
NOMAD Actor004_a70,85,-0.0442,1.164,수직 하향에 가까움,28.0
NOMAD Actor004_a90,85,-0.0953,0.806,수직 하향에 가까움,27.0
NOMAD Actor005_a10,85,0.2449,1.261,수직 하향에 가까움,169.0
NOMAD Actor005_a30,85,-0.182,0.766,수직 하향에 가까움,64.0
NOMAD Actor005_a50,85,-0.3556,0.607,비스듬(위가 큼),37.0
NOMAD Actor005_a70,85,-0.0675,0.926,수직 하향에 가까움,26.0
