group,n,corr_cy_px,bottom_over_top,px_median,verdict
Okutama 1.1.1,35096,0.3948,1.189,32.7,비스듬(아래가 큼)
Okutama 1.1.10,35206,0.4445,1.89,41.3,비스듬(아래가 큼)
Okutama 1.1.11,5602,-0.256,0.946,29.3,수직 하향에 가까움
Okutama 1.1.2,26302,0.6755,1.618,31.0,비스듬(아래가 큼)
Okutama 1.1.3,22234,0.5814,2.133,42.3,비스듬(아래가 큼)
Okutama 1.1.4,26302,0.1079,1.02,33.0,수직 하향에 가까움
Okutama 1.1.5,20382,0.381,1.353,37.3,비스듬(아래가 큼)
Okutama 1.1.6,39904,0.2783,1.112,54.3,수직 하향에 가까움
Okutama 1.1.7,13382,0.4327,1.851,38.3,비스듬(아래가 큼)
Okutama 1.1.8,14842,0.4426,1.286,28.3,비스듬(아래가 큼)
Okutama 1.1.9,21114,0.1707,0.98,32.0,수직 하향에 가까움
Okutama 1.2.1,25376,0.6549,1.323,37.7,비스듬(아래가 큼)
Okutama 1.2.10,27200,0.2486,1.083,46.0,수직 하향에 가까움
Okutama 1.2.11,28906,-0.2802,0.831,37.7,수직 하향에 가까움
Okutama 1.2.2,23094,0.615,1.387,35.7,비스듬(아래가 큼)
Okutama 1.2.3,13094,0.427,1.277,48.7,비스듬(아래가 큼)
Okutama 1.2.4,37222,0.637,1.673,42.0,비스듬(아래가 큼)
Okutama 1.2.5,14100,0.2555,1.224,52.3,수직 하향에 가까움
Okutama 1.2.6,11236,0.891,2.344,36.7,비스듬(아래가 큼)
Okutama 1.2.7,31862,0.6118,1.462,44.0,비스듬(아래가 큼)
Okutama 1.2.8,25668,0.8987,1.618,32.0,비스듬(아래가 큼)
Okutama 1.2.9,22496,0.7098,1.243,52.7,비스듬(아래가 큼)
Okutama 2.1.1,27024,0.716,1.451,34.0,비스듬(아래가 큼)
Okutama 2.1.10,43700,0.6776,1.163,42.3,비스듬(아래가 큼)
Okutama 2.1.2,19118,0.6183,1.466,30.0,비스듬(아래가 큼)
Okutama 2.1.3,47730,0.1222,1.093,43.0,수직 하향에 가까움
Okutama 2.1.4,34628,0.3974,1.294,47.7,비스듬(아래가 큼)
