model,imgsz,conf,TP,FN,FP,precision,recall,F1,F2,fp_per_frame,recall_l128,recall_neg,recall_s38
fov_11m_1280_all,1280,0.05,1923,2474,7013,0.2152,0.4373,0.2885,0.3625,2.57,0.6915,,0.3104
fov_11m_1280_all,1280,0.075,1801,2596,5059,0.2625,0.4096,0.32,0.3683,1.854,0.6689,,0.28
fov_11m_1280_all,1280,0.1,1701,2696,3938,0.3016,0.3869,0.339,0.3662,1.443,0.6451,,0.2578
fov_11m_1280_all,1280,0.125,1629,2768,3174,0.3392,0.3705,0.3541,0.3638,1.163,0.6307,,0.2405
fov_11m_1280_all,1280,0.15,1566,2831,2593,0.3765,0.3562,0.3661,0.36,0.95,0.6177,,0.2254
fov_11m_1280_all,1280,0.175,1516,2881,2166,0.4117,0.3448,0.3753,0.3564,0.794,0.6075,,0.2135
fov_11m_1280_all,1280,0.2,1476,2921,1840,0.4451,0.3357,0.3827,0.353,0.674,0.5973,,0.205
fov_11m_1280_all,1280,0.225,1418,2979,1563,0.4757,0.3225,0.3844,0.3447,0.573,0.5884,,0.1896
fov_11m_1280_all,1280,0.25,1367,3030,1326,0.5076,0.3109,0.3856,0.337,0.486,0.5788,,0.177
fov_11m_1280_all,1280,0.275,1309,3088,1133,0.536,0.2977,0.3828,0.3268,0.415,0.5631,,0.1651
fov_11m_1280_all,1280,0.3,1256,3141,988,0.5597,0.2856,0.3783,0.3167,0.362,0.5481,,0.1545
fov_11m_1280_all,1280,0.325,1191,3206,841,0.5861,0.2709,0.3705,0.3035,0.308,0.5297,,0.1415
fov_11m_1280_all,1280,0.35,1145,3252,739,0.6077,0.2604,0.3646,0.294,0.271,0.5201,,0.1306
fov_11m_1280_all,1280,0.375,1084,3313,623,0.635,0.2465,0.3552,0.2809,0.228,0.5106,,0.1146
fov_11m_1280_all,1280,0.4,1024,3373,518,0.6641,0.2329,0.3448,0.2676,0.19,0.4942,,0.1023
fov_11m_1280_all,1280,0.425,980,3417,435,0.6926,0.2229,0.3372,0.2579,0.159,0.4833,,0.0928
fov_11m_1280_all,1280,0.45,922,3475,357,0.7209,0.2097,0.3249,0.2443,0.131,0.4648,,0.0822
fov_11m_1280_all,1280,0.475,874,3523,297,0.7464,0.1988,0.3139,0.233,0.109,0.4471,,0.0747
fov_11m_1280_all,1280,0.5,809,3588,235,0.7749,0.184,0.2974,0.2171,0.086,0.4314,,0.0604
fov_11m_1280_all,1280,0.525,733,3664,183,0.8002,0.1667,0.2759,0.1981,0.067,0.4048,,0.0477
fov_11m_1280_all,1280,0.55,683,3714,133,0.837,0.1553,0.262,0.1856,0.049,0.3857,,0.0402
fov_11m_1280_all,1280,0.575,606,3791,104,0.8535,0.1378,0.2373,0.1656,0.038,0.3522,,0.0307
fov_11m_1280_all,1280,0.6,531,3866,77,0.8734,0.1208,0.2122,0.1459,0.028,0.3222,,0.0201
