model,set,mode,quantize,tiles,images,recall@0.15,fp_per_frame,ms_per_frame
fov_11m_1280_all,l128,4x720,none,4,869,0.6607,1.224,60.8
fov_11m_1280_all,neg,4x720,none,4,187,,0.594,60.5
fov_11m_1280_all,s38,4x720,none,4,1673,0.3729,1.708,60.8
fov_11m_1280_all,l128,4x720,fp16,4,869,0.6579,1.228,39.5
fov_11m_1280_all,neg,4x720,fp16,4,187,,0.594,39.0
fov_11m_1280_all,s38,4x720,fp16,4,1673,0.3721,1.728,39.7
fov_11m_1280_all,l128,2x1080,none,2,869,0.6328,0.872,47.4
fov_11m_1280_all,neg,2x1080,none,2,187,,0.439,46.8
fov_11m_1280_all,s38,2x1080,none,2,1673,0.3441,1.299,47.4
fov_11m_1280_all,l128,2x1080,fp16,2,869,0.6317,0.869,31.4
fov_11m_1280_all,neg,2x1080,fp16,2,187,,0.439,31.1
fov_11m_1280_all,s38,2x1080,fp16,2,1673,0.3436,1.296,31.0
