epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1581.9,1.79089,1.46022,1.52589,0.55572,0.38952,0.39258,0.15781,2.23489,2.45299,1.59998,0.00333245,0.00333245,0.070008
2,3152.56,1.69931,1.34073,1.45605,0.45785,0.3777,0.33514,0.13809,2.32058,2.99127,1.67088,0.00644581,0.00644581,0.039788
3,4716.96,1.75678,1.48201,1.52187,0.40282,0.29001,0.24973,0.09977,2.35606,3.00703,1.78179,0.00933917,0.00933917,0.00934804
4,6277.18,1.75886,1.48184,1.53917,0.55091,0.36221,0.38123,0.17013,2.22473,2.45462,1.61037,0.00901,0.00901,0.00901
5,7836.52,1.67963,1.29606,1.48599,0.57355,0.36177,0.37982,0.16876,2.29182,2.60516,1.6835,0.00868,0.00868,0.00868
6,9397.39,1.62681,1.16985,1.45174,0.55542,0.37845,0.38484,0.17908,2.17129,2.36459,1.56631,0.00835,0.00835,0.00835
7,10957.2,1.58227,1.09217,1.41995,0.58128,0.40001,0.42282,0.204,2.08344,2.37932,1.51957,0.00802,0.00802,0.00802
8,12520.9,1.55317,1.03198,1.39523,0.59288,0.39678,0.42051,0.21127,2.05049,2.39026,1.53719,0.00769,0.00769,0.00769
9,14082.2,1.52079,0.9838,1.37462,0.60021,0.41035,0.42268,0.20502,2.05182,2.34291,1.52865,0.00736,0.00736,0.00736
10,15645.4,1.4987,0.93409,1.35562,0.62169,0.41756,0.44229,0.2129,2.02576,2.26175,1.55387,0.00703,0.00703,0.00703
11,17211.9,1.4783,0.90336,1.33889,0.62151,0.4138,0.43647,0.21691,2.03456,2.34603,1.54889,0.0067,0.0067,0.0067
12,18777.6,1.45721,0.87398,1.32691,0.64948,0.4125,0.44694,0.22616,2.01924,2.42643,1.52714,0.00637,0.00637,0.00637
13,20343.4,1.44387,0.85039,1.3143,0.67201,0.42798,0.46324,0.23499,1.96588,2.29286,1.51399,0.00604,0.00604,0.00604
14,21908.5,1.424,0.8217,1.30078,0.65432,0.41992,0.45775,0.23416,1.95457,2.27121,1.50671,0.00571,0.00571,0.00571
15,23468.5,1.40381,0.79222,1.28624,0.67579,0.42204,0.45689,0.23291,1.95311,2.30162,1.50185,0.00538,0.00538,0.00538
16,25037,1.38986,0.77343,1.27424,0.69012,0.42252,0.46553,0.23959,1.94136,2.21612,1.4902,0.00505,0.00505,0.00505
17,26599.3,1.37498,0.74817,1.26376,0.68742,0.42782,0.46405,0.23803,1.94938,2.2704,1.48114,0.00472,0.00472,0.00472
18,28161.3,1.3577,0.73616,1.25291,0.69857,0.41062,0.45977,0.24265,1.93567,2.35583,1.48483,0.00439,0.00439,0.00439
19,29725.8,1.34138,0.71749,1.24023,0.68038,0.40359,0.4432,0.23485,1.91475,2.4104,1.47665,0.00406,0.00406,0.00406
20,31288.9,1.32962,0.6983,1.2378,0.69168,0.40988,0.45247,0.23847,1.93189,2.33354,1.49661,0.00373,0.00373,0.00373
21,32853.5,1.3123,0.6872,1.22546,0.68258,0.41753,0.45956,0.24061,1.92551,2.32865,1.50092,0.0034,0.0034,0.0034
22,34418.7,1.29993,0.67217,1.21543,0.68829,0.41057,0.44867,0.23619,1.93957,2.392,1.50774,0.00307,0.00307,0.00307
23,35982.8,1.28234,0.65537,1.20841,0.69774,0.409,0.44934,0.23534,1.94087,2.37972,1.51225,0.00274,0.00274,0.00274
24,37543.9,1.26269,0.63573,1.19881,0.6985,0.40741,0.44958,0.23641,1.95281,2.38838,1.5182,0.00241,0.00241,0.00241
25,39108.4,1.25241,0.6217,1.18828,0.71538,0.40374,0.44742,0.23576,1.95201,2.39963,1.51327,0.00208,0.00208,0.00208
26,40675,1.23617,0.60919,1.17938,0.70218,0.40943,0.4475,0.23635,1.94766,2.39354,1.51278,0.00175,0.00175,0.00175
27,42243.5,1.22145,0.59575,1.17146,0.69987,0.40838,0.44381,0.23387,1.9536,2.42059,1.51901,0.00142,0.00142,0.00142
28,43803.4,1.20695,0.57956,1.16196,0.70224,0.40703,0.44065,0.23321,1.95876,2.44723,1.52364,0.00109,0.00109,0.00109
29,45370.9,1.19366,0.56618,1.15259,0.7009,0.40337,0.43703,0.23159,1.96248,2.47728,1.52706,0.00076,0.00076,0.00076
30,46932.7,1.17318,0.55518,1.1423,0.70554,0.39963,0.43566,0.2311,1.96589,2.49562,1.53168,0.00043,0.00043,0.00043
