epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,449.147,1.80094,1.32199,1.50064,0.68668,0.49344,0.56179,0.20965,2.21779,1.87771,1.68296,0.00999314,0.00333105,0.00999314,0.00333105,0.00999314,0.00333105,0.00999314,0.00333105
2,779.303,1.67249,1.19111,1.41523,0.60045,0.44401,0.46924,0.17108,2.36171,2.159,1.74813,0.0196632,0.00655442,0.0196632,0.00655442,0.0196632,0.00655442,0.0196632,0.00655442
3,1105.2,1.70838,1.27538,1.46681,0.5909,0.40774,0.44099,0.17027,2.21369,2.25449,1.75015,0.0290034,0.00966779,0.0290034,0.00966779,0.0290034,0.00966779,0.0290034,0.00966779
4,1416.82,1.6957,1.25521,1.47513,0.52182,0.44475,0.45106,0.20961,2.04811,2.05407,1.62488,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,1715.9,1.62974,1.12689,1.43015,0.59145,0.47163,0.49026,0.20907,2.17678,1.95436,1.72343,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,2035.77,1.57841,1.02913,1.39758,0.58178,0.48837,0.50572,0.243,2.01464,1.83239,1.64013,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,2344.74,1.54304,0.96816,1.36659,0.61969,0.44699,0.48836,0.22772,2.07302,1.91428,1.66934,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,2643.06,1.50895,0.90992,1.34615,0.6605,0.51771,0.56355,0.2701,1.90295,1.74171,1.53938,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,2943.69,1.48781,0.86922,1.33622,0.69466,0.55343,0.60524,0.28078,1.97652,1.65314,1.60007,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,3236.82,1.46317,0.83953,1.31282,0.65003,0.46651,0.5227,0.26057,2.00571,1.88122,1.62968,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,3512.17,1.44548,0.81235,1.29093,0.71311,0.52474,0.5985,0.29853,1.90303,1.67084,1.52558,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,3813.93,1.43059,0.79003,1.28233,0.68057,0.47056,0.53935,0.26682,1.97267,1.80843,1.59897,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,4098.34,1.41858,0.77059,1.27742,0.68353,0.49221,0.56577,0.27996,1.94503,1.83045,1.54176,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,4367.02,1.39847,0.74623,1.26417,0.69513,0.53135,0.59992,0.29969,1.85066,1.71565,1.50379,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,4618.51,1.3845,0.73333,1.25484,0.68946,0.48827,0.54469,0.27204,1.93346,1.96082,1.62367,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,4886.7,1.37839,0.71789,1.24672,0.71895,0.49488,0.5629,0.28773,1.8624,1.80931,1.50582,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,5131.1,1.37158,0.70636,1.24305,0.72987,0.56598,0.63237,0.32089,1.89824,1.54707,1.54601,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,5387.92,1.34827,0.68753,1.23305,0.67985,0.53637,0.59089,0.29442,1.90984,1.62471,1.52614,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,5631.94,1.34323,0.67706,1.22485,0.70848,0.49563,0.56643,0.28315,1.89969,1.81009,1.59249,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,5876.36,1.32764,0.66427,1.21113,0.67878,0.52464,0.58463,0.30488,1.87162,1.70098,1.52583,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,6137.02,1.32248,0.65769,1.2045,0.70973,0.52922,0.59245,0.30598,1.86331,1.63455,1.52885,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,6380.6,1.3115,0.65081,1.19975,0.7232,0.51515,0.58812,0.30882,1.88751,1.68117,1.54758,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
23,6628.82,1.30513,0.63826,1.20082,0.69004,0.52902,0.58224,0.30038,1.87773,1.7919,1.53982,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
24,6906.02,1.29085,0.63074,1.1915,0.70954,0.52186,0.58557,0.30097,1.90408,1.73252,1.55894,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
25,7143.3,1.28249,0.61992,1.18576,0.72158,0.51323,0.58555,0.30771,1.88356,1.7572,1.55005,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
26,7395.07,1.27345,0.61498,1.17953,0.73422,0.52304,0.59153,0.31064,1.85405,1.73159,1.52896,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
27,7647.47,1.26442,0.60481,1.16695,0.72617,0.54895,0.61757,0.32406,1.83039,1.62674,1.50384,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
28,7889.08,1.25876,0.60026,1.16612,0.75885,0.53072,0.60589,0.3151,1.88724,1.67173,1.53921,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
29,8136.74,1.24997,0.59361,1.16148,0.74277,0.5432,0.61258,0.32123,1.86822,1.64988,1.54568,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
30,8444.74,1.2406,0.58255,1.15827,0.73957,0.54917,0.6112,0.31887,1.87865,1.63039,1.55083,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
31,8711.68,1.22796,0.57388,1.14848,0.747,0.54661,0.61493,0.31971,1.88692,1.58709,1.55759,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
32,8962.62,1.22279,0.56728,1.14369,0.72568,0.54285,0.60285,0.31351,1.89702,1.66372,1.58187,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,9272.82,1.22048,0.56852,1.14596,0.73776,0.53061,0.5961,0.31214,1.89745,1.72682,1.56675,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,9533.85,1.20852,0.56064,1.14174,0.74976,0.53349,0.6032,0.31664,1.89471,1.68655,1.56792,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,9780.13,1.20358,0.55649,1.13376,0.73645,0.53319,0.60346,0.31487,1.89683,1.668,1.5644,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,10064.8,1.19617,0.5506,1.1328,0.72408,0.53658,0.60545,0.31641,1.87616,1.66214,1.54384,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,10308.8,1.1882,0.54321,1.12936,0.73994,0.53016,0.60516,0.31555,1.88321,1.70562,1.54936,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,10561.1,1.17697,0.53524,1.11894,0.75116,0.532,0.60639,0.31585,1.89681,1.68406,1.57144,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,10846,1.17491,0.53502,1.12359,0.73437,0.53328,0.59715,0.31185,1.91106,1.71114,1.58984,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,11088.2,1.16461,0.52724,1.11546,0.75241,0.5272,0.59866,0.31193,1.91621,1.71316,1.59287,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,11330,1.15704,0.52094,1.11015,0.72841,0.54448,0.59831,0.30995,1.92277,1.71641,1.59718,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,11602.1,1.15109,0.51562,1.10525,0.73224,0.54309,0.59578,0.30651,1.92934,1.71659,1.60494,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
