epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1570.22,1.77739,1.42848,1.51186,0.52418,0.36087,0.35543,0.12826,2.30388,2.47938,1.66754,0.00333245,0.00333245,0.070008
2,3133.34,1.68751,1.2994,1.4391,0.5706,0.36745,0.37719,0.17128,2.18539,2.64056,1.58282,0.00631846,0.00631846,0.0396607
3,4694.75,1.73648,1.42405,1.4946,0.47407,0.32435,0.29151,0.12331,2.37093,2.82247,1.77407,0.0089571,0.0089571,0.00896597
4,6252.05,1.73366,1.42311,1.51646,0.57046,0.35644,0.36897,0.17016,2.19801,2.59414,1.62423,0.00843684,0.00843684,0.00843684
5,7809.9,1.65483,1.24156,1.46543,0.58111,0.39174,0.4098,0.18771,2.20454,2.44181,1.64547,0.00791579,0.00791579,0.00791579
6,9371.79,1.60276,1.12317,1.42749,0.56322,0.36251,0.37471,0.17262,2.21252,2.52674,1.6225,0.00739474,0.00739474,0.00739474
7,10928.9,1.5544,1.03845,1.38951,0.62347,0.38779,0.4271,0.20229,2.09481,2.34085,1.56494,0.00687368,0.00687368,0.00687368
8,12487,1.52159,0.98209,1.36578,0.60641,0.38896,0.41709,0.21039,2.02439,2.3881,1.51193,0.00635263,0.00635263,0.00635263
9,14046.8,1.48611,0.92748,1.34248,0.63801,0.4312,0.45348,0.21585,2.07731,2.20754,1.54191,0.00583158,0.00583158,0.00583158
10,15607,1.4575,0.87306,1.31772,0.67358,0.43719,0.47787,0.2401,1.96902,2.19661,1.50072,0.00531053,0.00531053,0.00531053
11,17164.6,1.43731,0.83993,1.30232,0.65382,0.42436,0.4566,0.22661,2.01045,2.27923,1.51853,0.00478947,0.00478947,0.00478947
12,18720.1,1.41107,0.80345,1.28467,0.67709,0.41654,0.44847,0.22897,1.99325,2.37622,1.51493,0.00426842,0.00426842,0.00426842
13,20279.1,1.39353,0.77343,1.26929,0.66581,0.41399,0.451,0.23033,1.98352,2.34828,1.49266,0.00374737,0.00374737,0.00374737
14,21838.8,1.36424,0.74128,1.25194,0.68198,0.41631,0.45037,0.23154,1.97194,2.36447,1.49516,0.00322632,0.00322632,0.00322632
15,23394.7,1.32924,0.66131,1.23504,0.67745,0.40135,0.43684,0.22441,2.00067,2.45394,1.50958,0.00270526,0.00270526,0.00270526
16,24952.1,1.30155,0.62479,1.21895,0.67672,0.39736,0.42984,0.22354,2.01032,2.38274,1.51963,0.00218421,0.00218421,0.00218421
17,26504,1.27437,0.60068,1.19761,0.67311,0.40202,0.43872,0.22617,2.00874,2.37661,1.51863,0.00166316,0.00166316,0.00166316
18,28063.7,1.25041,0.57024,1.18377,0.69105,0.39327,0.43325,0.22603,2.00055,2.51696,1.51269,0.00114211,0.00114211,0.00114211
19,28950.9,1.22493,0.55115,1.17128,0.68524,0.39126,0.42635,0.22313,2.00156,2.56938,1.51421,0.000621053,0.000621053,0.000621053
