epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,902.407,1.82356,1.50411,1.49349,0.59168,0.39431,0.40318,0.1419,2.31834,2.30724,1.56099,0.00333156,0.00333156,0.070016
2,1764.75,1.6774,1.27241,1.37388,0.56424,0.40157,0.39561,0.16229,2.23491,2.24645,1.56313,0.00644495,0.00644495,0.039796
3,2611.63,1.72547,1.38892,1.41827,0.49133,0.31864,0.32328,0.1372,2.26373,2.58388,1.59574,0.00933834,0.00933834,0.00935608
4,3471.16,1.71427,1.3668,1.4323,0.50339,0.3127,0.31996,0.1451,2.25285,2.57934,1.62806,0.00901,0.00901,0.00901
5,4317.84,1.64887,1.20816,1.39631,0.50877,0.34987,0.34255,0.15449,2.23438,2.50174,1.59092,0.00868,0.00868,0.00868
6,5171.56,1.60754,1.11628,1.37071,0.54573,0.34052,0.33418,0.16329,2.13397,2.48473,1.54291,0.00835,0.00835,0.00835
7,6021.19,1.56252,1.03736,1.33766,0.5901,0.34979,0.37342,0.18078,2.08277,2.45851,1.51216,0.00802,0.00802,0.00802
8,6849.07,1.53075,0.98523,1.32187,0.55773,0.37493,0.38032,0.18911,2.06539,2.36227,1.52527,0.00769,0.00769,0.00769
9,7682.4,1.50652,0.9378,1.30006,0.59401,0.35466,0.38193,0.1868,2.08855,2.38033,1.51683,0.00736,0.00736,0.00736
10,8514.28,1.49133,0.90226,1.29155,0.58328,0.36992,0.3857,0.18777,2.09381,2.42504,1.54386,0.00703,0.00703,0.00703
11,9344.95,1.46919,0.86973,1.27828,0.6065,0.39364,0.4078,0.20041,2.07698,2.39269,1.48822,0.0067,0.0067,0.0067
12,10163.9,1.45377,0.84549,1.26503,0.60103,0.36554,0.37958,0.19158,2.05736,2.51012,1.50875,0.00637,0.00637,0.00637
13,10972.8,1.42948,0.81363,1.25344,0.62742,0.38216,0.40183,0.20345,2.05873,2.39487,1.50957,0.00604,0.00604,0.00604
14,11799.3,1.41705,0.79643,1.24692,0.62804,0.39102,0.40939,0.2064,2.01558,2.33283,1.50275,0.00571,0.00571,0.00571
15,12618.9,1.3949,0.77712,1.23398,0.65077,0.38361,0.41384,0.21053,2.04186,2.42932,1.499,0.00538,0.00538,0.00538
16,13426.2,1.38486,0.75806,1.2251,0.6399,0.37561,0.39731,0.19987,2.052,2.49118,1.50803,0.00505,0.00505,0.00505
17,14211,1.37467,0.74149,1.22135,0.65617,0.3944,0.41865,0.21453,1.98761,2.39397,1.47476,0.00472,0.00472,0.00472
18,15029.1,1.35636,0.7217,1.21165,0.65322,0.39132,0.41587,0.21456,2.02612,2.44319,1.49625,0.00439,0.00439,0.00439
19,15839.1,1.34344,0.71281,1.20353,0.65695,0.39274,0.41568,0.21816,1.98057,2.43239,1.48938,0.00406,0.00406,0.00406
20,16625.5,1.32797,0.69366,1.1908,0.65728,0.38661,0.41279,0.21716,1.98368,2.44629,1.47925,0.00373,0.00373,0.00373
21,17425.9,1.31269,0.67697,1.18437,0.65726,0.39132,0.41327,0.21664,1.98031,2.44486,1.48854,0.0034,0.0034,0.0034
22,18225.7,1.30559,0.66421,1.17851,0.6692,0.39364,0.4199,0.22044,1.98621,2.44193,1.4944,0.00307,0.00307,0.00307
23,19038.1,1.28663,0.65038,1.16878,0.66972,0.39147,0.418,0.21903,1.99471,2.48234,1.49681,0.00274,0.00274,0.00274
24,19826.2,1.26951,0.63487,1.16054,0.67718,0.38676,0.41736,0.2212,1.98403,2.49104,1.48702,0.00241,0.00241,0.00241
25,20622.3,1.2576,0.62349,1.1522,0.68321,0.39035,0.42237,0.223,1.98823,2.47817,1.48735,0.00208,0.00208,0.00208
26,21439.3,1.22266,0.55627,1.13423,0.67295,0.3812,0.40991,0.21729,1.99488,2.56973,1.49206,0.00175,0.00175,0.00175
27,22222.1,1.20634,0.534,1.12382,0.68399,0.38197,0.40975,0.21838,1.99744,2.57743,1.49741,0.00142,0.00142,0.00142
28,23027.8,1.18521,0.52073,1.11293,0.68301,0.3795,0.40641,0.21586,2.0015,2.6057,1.50021,0.00109,0.00109,0.00109
29,23803.6,1.16886,0.50726,1.10544,0.6821,0.37651,0.40118,0.21358,2.01058,2.64098,1.50495,0.00076,0.00076,0.00076
30,24590.6,1.15349,0.49361,1.09516,0.67843,0.37507,0.3987,0.21184,2.01712,2.66565,1.50857,0.00043,0.00043,0.00043
