epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2096.85,1.77238,1.42494,1.56527,0.60062,0.40958,0.41751,0.1381,2.35136,2.44162,1.68708,0.00333267,0.00333267,0.070006
2,4136,1.71038,1.36259,1.51748,0.53706,0.37269,0.3684,0.14577,2.34208,2.47362,1.76788,0.00644602,0.00644602,0.039786
3,6168.54,1.77574,1.52347,1.59097,0.45797,0.32869,0.30392,0.12143,2.47985,2.58364,1.84834,0.00933938,0.00933938,0.00934603
4,8199.39,1.76105,1.5088,1.60107,0.50591,0.35129,0.34276,0.14205,2.33175,2.52587,1.78469,0.00901,0.00901,0.00901
5,10226.2,1.68056,1.32527,1.54953,0.57039,0.38212,0.39438,0.18473,2.18713,2.38073,1.68203,0.00868,0.00868,0.00868
6,12253.2,1.6248,1.20505,1.50479,0.58166,0.37239,0.39519,0.18055,2.10874,2.38164,1.60431,0.00835,0.00835,0.00835
7,14282.8,1.58316,1.10828,1.48109,0.59302,0.41811,0.42869,0.19956,2.15541,2.31435,1.68553,0.00802,0.00802,0.00802
8,16303.8,1.54994,1.04604,1.4585,0.65853,0.41398,0.45277,0.21662,2.07676,2.28909,1.62263,0.00769,0.00769,0.00769
9,18325.5,1.52223,0.99426,1.44281,0.63979,0.40905,0.44587,0.21751,1.9961,2.22955,1.56534,0.00736,0.00736,0.00736
10,20346.5,1.49967,0.95904,1.41896,0.6803,0.43133,0.47122,0.22906,2.02032,2.19472,1.60652,0.00703,0.00703,0.00703
11,22366.5,1.47891,0.91308,1.40882,0.67243,0.43221,0.47031,0.23018,1.99473,2.21494,1.58608,0.0067,0.0067,0.0067
12,24385.4,1.45589,0.88171,1.39428,0.69255,0.43547,0.48197,0.24507,1.9654,2.13895,1.56819,0.00637,0.00637,0.00637
13,26408.1,1.43387,0.84805,1.38059,0.70328,0.43217,0.48492,0.24409,1.96617,2.15142,1.57933,0.00604,0.00604,0.00604
14,28426.2,1.42676,0.82324,1.36993,0.68283,0.41817,0.46292,0.24046,1.95365,2.26576,1.55114,0.00571,0.00571,0.00571
15,30446.6,1.40315,0.79682,1.35904,0.69555,0.42544,0.47229,0.24521,1.93204,2.22687,1.54018,0.00538,0.00538,0.00538
16,32469.7,1.39113,0.77194,1.33952,0.69366,0.4244,0.46391,0.24211,1.93594,2.20339,1.54971,0.00505,0.00505,0.00505
17,34486.1,1.37522,0.75268,1.33704,0.69212,0.42694,0.46858,0.24421,1.94954,2.19614,1.57976,0.00472,0.00472,0.00472
18,36502.1,1.36297,0.73952,1.33265,0.70525,0.43068,0.46885,0.24118,1.9686,2.26136,1.59033,0.00439,0.00439,0.00439
19,38521.8,1.34708,0.72213,1.31948,0.71992,0.43397,0.47701,0.24724,1.95027,2.22917,1.57704,0.00406,0.00406,0.00406
20,40540.4,1.32983,0.70044,1.30588,0.71013,0.43038,0.47316,0.24901,1.93462,2.22518,1.56299,0.00373,0.00373,0.00373
21,42564.6,1.31431,0.68478,1.29691,0.70652,0.42394,0.46372,0.24416,1.93714,2.26863,1.56228,0.0034,0.0034,0.0034
22,44580.5,1.29977,0.67142,1.285,0.68663,0.41706,0.44918,0.2384,1.93819,2.30802,1.56397,0.00307,0.00307,0.00307
23,46600.6,1.28052,0.64859,1.27246,0.69993,0.40658,0.44148,0.2362,1.93484,2.34199,1.57034,0.00274,0.00274,0.00274
24,48616.2,1.26596,0.63808,1.25925,0.69089,0.40655,0.44158,0.23611,1.93385,2.35902,1.56764,0.00241,0.00241,0.00241
25,50639.5,1.25137,0.6187,1.25354,0.70008,0.40642,0.44114,0.23635,1.93985,2.37732,1.57447,0.00208,0.00208,0.00208
26,52653.2,1.21481,0.54674,1.2256,0.68509,0.4018,0.4346,0.23336,1.94266,2.40512,1.57221,0.00175,0.00175,0.00175
27,54668.9,1.19243,0.52651,1.21159,0.69263,0.39469,0.42903,0.23074,1.94827,2.44389,1.57099,0.00142,0.00142,0.00142
28,56684.6,1.17493,0.51153,1.20637,0.69228,0.39214,0.42655,0.23048,1.95143,2.46304,1.56987,0.00109,0.00109,0.00109
29,58698.4,1.15911,0.50094,1.19401,0.69526,0.38945,0.4242,0.22912,1.95655,2.47387,1.57084,0.00076,0.00076,0.00076
30,60713.9,1.13722,0.48502,1.17562,0.69607,0.39005,0.42545,0.22919,1.96243,2.48167,1.57303,0.00043,0.00043,0.00043
