epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3276.65,1.51439,1.06951,1.43025,0.58373,0.41362,0.41263,0.19274,2.19598,2.21633,1.61172,0.00333293,0.00333293,0.0700037
2,6502.98,1.45569,1.02135,1.38632,0.51244,0.37351,0.36113,0.16135,2.23454,2.42984,1.66422,0.00636628,0.00636628,0.0397037
3,9721.32,1.49652,1.12166,1.43432,0.52961,0.35509,0.34079,0.14972,2.30163,2.49701,1.73748,0.00913876,0.00913876,0.00914282
4,12936,1.467,1.08493,1.43636,0.53372,0.36162,0.37099,0.1791,2.16624,2.38504,1.69229,0.0087087,0.0087087,0.0087087
5,16148,1.3937,0.95512,1.38701,0.5746,0.38535,0.40449,0.19147,2.10797,2.30328,1.6503,0.00827826,0.00827826,0.00827826
6,19359.6,1.34454,0.8735,1.34818,0.62174,0.40314,0.43143,0.21202,2.03731,2.28078,1.59644,0.00784783,0.00784783,0.00784783
7,22572.3,1.31326,0.81831,1.31765,0.60297,0.39101,0.41313,0.20616,2.00759,2.28295,1.5963,0.00741739,0.00741739,0.00741739
8,25786.6,1.28703,0.77271,1.30434,0.64675,0.41616,0.44744,0.22644,1.98327,2.2825,1.57377,0.00698696,0.00698696,0.00698696
9,29000.8,1.2639,0.74119,1.28637,0.66204,0.41197,0.45276,0.23124,1.95277,2.23199,1.56086,0.00655652,0.00655652,0.00655652
10,32214.9,1.23647,0.71111,1.2624,0.66403,0.41197,0.45072,0.23085,1.94295,2.2623,1.55179,0.00612609,0.00612609,0.00612609
11,35426.3,1.20531,0.68087,1.24353,0.68431,0.41229,0.45367,0.23385,1.94922,2.29413,1.55987,0.00569565,0.00569565,0.00569565
12,38638.4,1.18746,0.65877,1.23076,0.7017,0.42432,0.47078,0.24211,1.92678,2.21457,1.53865,0.00526522,0.00526522,0.00526522
13,41947,1.16251,0.63612,1.2139,0.70664,0.42911,0.47405,0.24589,1.91647,2.20706,1.5402,0.00483478,0.00483478,0.00483478
14,45161.3,1.15051,0.6153,1.20002,0.71098,0.43262,0.47673,0.24726,1.90653,2.22063,1.53278,0.00440435,0.00440435,0.00440435
15,48372.6,1.13249,0.59993,1.18811,0.69613,0.43916,0.47774,0.24972,1.89252,2.18986,1.52321,0.00397391,0.00397391,0.00397391
16,51580.9,1.11147,0.5753,1.17622,0.68657,0.4437,0.47912,0.25027,1.88732,2.18507,1.52008,0.00354348,0.00354348,0.00354348
17,54797.3,1.09315,0.55728,1.15955,0.693,0.44265,0.47874,0.25078,1.88547,2.20283,1.51845,0.00311304,0.00311304,0.00311304
18,3210.02,1.11488,0.58432,1.1776,0.70206,0.43898,0.4795,0.25073,1.88482,2.18888,1.51816,0.00439,0.00439,0.00439
19,6505.23,1.11116,0.57673,1.17406,0.69062,0.44257,0.47922,0.25135,1.88458,2.18167,1.51739,0.00406,0.00406,0.00406
20,9728.28,1.09696,0.56714,1.16447,0.702,0.43973,0.47912,0.25086,1.88773,2.18619,1.51769,0.00373,0.00373,0.00373
21,12950.6,1.08218,0.55491,1.15878,0.70405,0.43787,0.47714,0.25037,1.88928,2.18782,1.51896,0.0034,0.0034,0.0034
22,16175,1.06933,0.54058,1.14991,0.70615,0.43693,0.47752,0.25056,1.88886,2.18862,1.51846,0.00307,0.00307,0.00307
23,19403,1.05146,0.52496,1.13871,0.69834,0.44033,0.477,0.25046,1.89043,2.19555,1.51865,0.00274,0.00274,0.00274
24,23297.2,1.03628,0.5121,1.12317,0.69431,0.44242,0.47702,0.25087,1.89178,2.19157,1.519,0.00241,0.00241,0.00241
25,26519.8,1.01017,0.49401,1.11194,0.69391,0.44332,0.47689,0.25096,1.894,2.19697,1.52094,0.00208,0.00208,0.00208
26,29736.4,0.9398,0.42135,1.06603,0.69628,0.44093,0.47393,0.24982,1.89818,2.2103,1.52458,0.00175,0.00175,0.00175
27,32948.1,0.91552,0.40802,1.05352,0.69707,0.44078,0.4728,0.24907,1.90078,2.21815,1.5268,0.00142,0.00142,0.00142
28,36164.4,0.89656,0.39338,1.04102,0.69928,0.43756,0.47178,0.24853,1.90323,2.22803,1.528,0.00109,0.00109,0.00109
29,39381.9,0.87964,0.37865,1.03359,0.69795,0.43659,0.47037,0.24796,1.90465,2.23906,1.52911,0.00076,0.00076,0.00076
30,42595.5,0.86287,0.37085,1.0263,0.70065,0.43442,0.46931,0.24784,1.90822,2.24748,1.5305,0.00043,0.00043,0.00043
