epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1000.4,1.78972,1.45048,1.71013,0.56532,0.40967,0.42798,0.15076,2.26819,2.39376,1.95083,0.00999841,0.0033328,0.00999841,0.0033328,0.00999841,0.0033328,0.00999841,0.0033328
2,1931.27,1.73448,1.47302,1.68922,0.49826,0.3569,0.37602,0.16716,2.31674,2.4613,2.00382,0.0193598,0.00645325,0.0193598,0.00645325,0.0193598,0.00645325,0.0193598,0.00645325
3,2859.95,1.78037,1.59645,1.76686,0.53566,0.39686,0.42244,0.17177,2.23728,2.37361,2.09621,0.0281423,0.00938075,0.0281423,0.00938075,0.0281423,0.00938075,0.0281423,0.00938075
4,3785.03,1.75284,1.5672,1.76478,0.53087,0.41429,0.40238,0.1664,2.31342,2.37811,2.04407,0.0273,0.0091,0.0273,0.0091,0.0273,0.0091,0.0273,0.0091
5,4708.84,1.68171,1.41076,1.71528,0.60372,0.44115,0.48578,0.22624,2.0636,2.23947,1.96236,0.0264,0.0088,0.0264,0.0088,0.0264,0.0088,0.0264,0.0088
6,5634.44,1.61642,1.25561,1.66939,0.61669,0.44115,0.49744,0.24428,1.96937,2.10162,1.83099,0.0255,0.0085,0.0255,0.0085,0.0255,0.0085,0.0255,0.0085
7,6558.61,1.56592,1.17307,1.62437,0.62612,0.46486,0.51158,0.25331,1.94333,2.04963,1.79865,0.0246,0.0082,0.0246,0.0082,0.0246,0.0082,0.0246,0.0082
8,7484.13,1.5415,1.10585,1.60017,0.67293,0.48078,0.5482,0.27138,1.94865,1.99259,1.77265,0.0237,0.0079,0.0237,0.0079,0.0237,0.0079,0.0237,0.0079
9,8408.35,1.50721,1.03178,1.57364,0.6612,0.51352,0.56193,0.27947,1.91396,1.85075,1.80801,0.0228,0.0076,0.0228,0.0076,0.0228,0.0076,0.0228,0.0076
10,9335.69,1.46693,0.97599,1.53429,0.68656,0.51792,0.57296,0.28418,1.90563,1.85621,1.76249,0.0219,0.0073,0.0219,0.0073,0.0219,0.0073,0.0219,0.0073
11,10258.5,1.44747,0.94114,1.51055,0.69145,0.52431,0.58257,0.29186,1.89648,1.84468,1.77702,0.0212647,0.00708824,0.0212647,0.00708824,0.0212647,0.00708824,0.0212647,0.00708824
12,11182.8,1.42958,0.90535,1.49645,0.71468,0.54261,0.61626,0.31598,1.85482,1.84863,1.72384,0.0203912,0.00679706,0.0203912,0.00679706,0.0203912,0.00679706,0.0203912,0.00679706
13,12108.1,1.39948,0.87655,1.4686,0.72138,0.54369,0.61537,0.31425,1.84061,1.81743,1.7082,0.0195176,0.00650588,0.0195176,0.00650588,0.0195176,0.00650588,0.0195176,0.00650588
14,952.294,1.37759,0.8352,1.45331,0.69392,0.515,0.57898,0.29523,1.89857,1.82018,1.75987,0.0186441,0.00621471,0.0186441,0.00621471,0.0186441,0.00621471,0.0186441,0.00621471
15,1095.32,1.2565,0.70677,1.37047,0.70046,0.51377,0.56568,0.28728,1.9651,1.95027,1.81386,0.0177706,0.00592353,0.0177706,0.00592353,0.0177706,0.00592353,0.0177706,0.00592353
16,2141.86,1.35395,0.79127,1.4355,0.7119,0.53729,0.60919,0.32391,1.81174,1.79404,1.6699,0.0168971,0.00563235,0.0168971,0.00563235,0.0168971,0.00563235,0.0168971,0.00563235
17,3228.2,1.34234,0.76707,1.41615,0.7232,0.55864,0.62316,0.32773,1.80871,1.73083,1.66496,0.0160235,0.00534118,0.0160235,0.00534118,0.0160235,0.00534118,0.0160235,0.00534118
18,4287.25,1.31726,0.74162,1.39609,0.73381,0.55105,0.60988,0.32418,1.85189,1.76654,1.72669,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
19,5356.23,1.30289,0.72596,1.38664,0.74483,0.5762,0.63694,0.33748,1.7618,1.63633,1.64331,0.0142765,0.00475882,0.0142765,0.00475882,0.0142765,0.00475882,0.0142765,0.00475882
20,6413.43,1.27976,0.69766,1.36699,0.75129,0.57358,0.64198,0.34044,1.7836,1.58799,1.69374,0.0134029,0.00446765,0.0134029,0.00446765,0.0134029,0.00446765,0.0134029,0.00446765
21,7485.52,1.26333,0.68432,1.35448,0.7528,0.58332,0.6375,0.33779,1.77756,1.69889,1.66378,0.0125294,0.00417647,0.0125294,0.00417647,0.0125294,0.00417647,0.0125294,0.00417647
22,8556.2,1.25386,0.66916,1.34159,0.77519,0.57488,0.65126,0.35169,1.75855,1.71451,1.62786,0.0116559,0.00388529,0.0116559,0.00388529,0.0116559,0.00388529,0.0116559,0.00388529
23,9604.4,1.23878,0.64838,1.33665,0.74847,0.5765,0.63961,0.34247,1.77439,1.63842,1.68099,0.0107824,0.00359412,0.0107824,0.00359412,0.0107824,0.00359412,0.0107824,0.00359412
24,10673.8,1.21444,0.62617,1.31674,0.7415,0.56531,0.62089,0.32958,1.79481,1.72628,1.67469,0.00990882,0.00330294,0.00990882,0.00330294,0.00990882,0.00330294,0.00990882,0.00330294
25,11724.5,1.19716,0.61471,1.29851,0.759,0.5736,0.63424,0.34013,1.79693,1.68149,1.67169,0.00903529,0.00301176,0.00903529,0.00301176,0.00903529,0.00301176,0.00903529,0.00301176
26,12783.7,1.19227,0.60427,1.29866,0.77045,0.59231,0.65577,0.34752,1.81104,1.6225,1.68802,0.00816176,0.00272059,0.00816176,0.00272059,0.00816176,0.00272059,0.00816176,0.00272059
27,13835.3,1.16919,0.59019,1.28103,0.75986,0.56492,0.62985,0.33327,1.8139,1.71288,1.68672,0.00728824,0.00242941,0.00728824,0.00242941,0.00728824,0.00242941,0.00728824,0.00242941
28,14892.5,1.17216,0.58888,1.28119,0.7368,0.57759,0.63067,0.33164,1.81728,1.68954,1.68306,0.00641471,0.00213824,0.00641471,0.00213824,0.00641471,0.00213824,0.00641471,0.00213824
29,15951.9,1.16367,0.57713,1.2694,0.74875,0.56773,0.62603,0.32867,1.82809,1.7038,1.69206,0.00554118,0.00184706,0.00554118,0.00184706,0.00554118,0.00184706,0.00554118,0.00184706
30,17004.4,1.10625,0.47421,1.25323,0.74007,0.56037,0.61681,0.32727,1.82993,1.7344,1.69398,0.00466765,0.00155588,0.00466765,0.00155588,0.00466765,0.00155588,0.00466765,0.00155588
31,18061.7,1.08954,0.45908,1.24468,0.75375,0.56414,0.61951,0.33053,1.8374,1.73277,1.70697,0.00379412,0.00126471,0.00379412,0.00126471,0.00379412,0.00126471,0.00379412,0.00126471
32,19116,1.06837,0.44618,1.23315,0.73794,0.56188,0.61276,0.32763,1.84675,1.79742,1.73028,0.00292059,0.000973529,0.00292059,0.000973529,0.00292059,0.000973529,0.00292059,0.000973529
33,20171.7,1.05297,0.43408,1.21863,0.75235,0.55167,0.60903,0.32504,1.85867,1.82277,1.74033,0.00204706,0.000682353,0.00204706,0.000682353,0.00204706,0.000682353,0.00204706,0.000682353
34,21226.5,1.04082,0.42549,1.20975,0.75112,0.54967,0.60689,0.32437,1.8619,1.81663,1.7392,0.00117353,0.000391176,0.00117353,0.000391176,0.00117353,0.000391176,0.00117353,0.000391176
