epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1077.06,1.75785,1.27544,1.60176,0.6998,0.48716,0.55087,0.20176,2.29113,2.5582,1.9005,0.00999606,0.00333202,0.00999606,0.00333202,0.00999606,0.00333202,0.00999606,0.00333202
2,2087.21,1.68316,1.24916,1.56042,0.56677,0.44851,0.45973,0.20433,2.124,2.32589,1.8427,0.0192347,0.00641156,0.0192347,0.00641156,0.0192347,0.00641156,0.0192347,0.00641156
3,3091.82,1.70577,1.36374,1.60505,0.54445,0.44754,0.46072,0.20049,2.14027,2.40521,1.83745,0.0277117,0.00923725,0.0277117,0.00923725,0.0277117,0.00923725,0.0277117,0.00923725
4,4093.17,1.69194,1.33821,1.60969,0.57395,0.42306,0.45133,0.1748,2.22851,2.53142,1.90907,0.0267,0.0089,0.0267,0.0089,0.0267,0.0089,0.0267,0.0089
5,5093.99,1.60695,1.15972,1.54248,0.67269,0.52626,0.5876,0.27098,2.05611,1.9749,1.79862,0.0256,0.00853333,0.0256,0.00853333,0.0256,0.00853333,0.0256,0.00853333
6,6095.34,1.55134,1.05283,1.4975,0.65357,0.52139,0.56398,0.27688,1.97565,1.98782,1.74294,0.0245,0.00816667,0.0245,0.00816667,0.0245,0.00816667,0.0245,0.00816667
7,7096.24,1.5102,0.9633,1.4662,0.65265,0.56091,0.58313,0.28557,1.9268,1.90736,1.724,0.0234,0.0078,0.0234,0.0078,0.0234,0.0078,0.0234,0.0078
8,8101.22,1.47873,0.90306,1.44059,0.7277,0.58289,0.62993,0.3172,1.90871,1.76823,1.70304,0.0223,0.00743333,0.0223,0.00743333,0.0223,0.00743333,0.0223,0.00743333
9,9103.98,1.44695,0.8564,1.41732,0.7103,0.55744,0.61314,0.30714,1.92005,1.89194,1.73448,0.0212,0.00706667,0.0212,0.00706667,0.0212,0.00706667,0.0212,0.00706667
10,10104.6,1.41859,0.80769,1.39274,0.72888,0.54997,0.62392,0.31906,1.87164,1.89444,1.6574,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
11,11109.1,1.39034,0.77696,1.37012,0.71958,0.55225,0.61394,0.3183,1.81749,1.84211,1.65624,0.019,0.00633333,0.019,0.00633333,0.019,0.00633333,0.019,0.00633333
12,12112.1,1.36699,0.74259,1.35291,0.73941,0.57826,0.64271,0.33456,1.81792,1.82423,1.62023,0.0179,0.00596667,0.0179,0.00596667,0.0179,0.00596667,0.0179,0.00596667
13,13114.5,1.34474,0.71528,1.33324,0.74701,0.58138,0.63981,0.33145,1.82791,1.76782,1.67187,0.0168,0.0056,0.0168,0.0056,0.0168,0.0056,0.0168,0.0056
14,14156.2,1.33283,0.69248,1.31949,0.75278,0.5912,0.643,0.32441,1.86332,1.77437,1.69324,0.0157,0.00523333,0.0157,0.00523333,0.0157,0.00523333,0.0157,0.00523333
15,15159.2,1.3098,0.67717,1.30394,0.71736,0.55441,0.60135,0.31404,1.81244,1.90921,1.64693,0.0146,0.00486667,0.0146,0.00486667,0.0146,0.00486667,0.0146,0.00486667
16,16163.7,1.29025,0.65781,1.29309,0.73348,0.58452,0.63682,0.32858,1.80443,1.76316,1.66119,0.0135,0.0045,0.0135,0.0045,0.0135,0.0045,0.0135,0.0045
17,17209.5,1.26723,0.63362,1.28093,0.72783,0.58419,0.62775,0.33034,1.81555,1.74767,1.6783,0.0124,0.00413333,0.0124,0.00413333,0.0124,0.00413333,0.0124,0.00413333
18,18214.6,1.25221,0.61871,1.26533,0.75796,0.58289,0.64861,0.34657,1.77991,1.82008,1.6526,0.0113,0.00376667,0.0113,0.00376667,0.0113,0.00376667,0.0113,0.00376667
19,19218,1.23023,0.59782,1.25084,0.74464,0.56522,0.62748,0.33628,1.80332,1.83938,1.64552,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
20,20269.2,1.2196,0.58988,1.24047,0.75067,0.57239,0.63462,0.33817,1.77334,1.824,1.61888,0.0091,0.00303333,0.0091,0.00303333,0.0091,0.00303333,0.0091,0.00303333
21,21284.8,1.1993,0.56982,1.22143,0.7681,0.57163,0.64429,0.35005,1.73967,1.72658,1.60071,0.008,0.00266667,0.008,0.00266667,0.008,0.00266667,0.008,0.00266667
22,22298.5,1.17959,0.55511,1.21113,0.75392,0.5817,0.64495,0.35232,1.76914,1.78847,1.63246,0.0069,0.0023,0.0069,0.0023,0.0069,0.0023,0.0069,0.0023
23,23347.6,1.1356,0.47059,1.22121,0.74613,0.56235,0.62458,0.34282,1.77717,1.7913,1.64328,0.0058,0.00193333,0.0058,0.00193333,0.0058,0.00193333,0.0058,0.00193333
24,24367.6,1.11109,0.45529,1.20656,0.75632,0.56145,0.62453,0.33879,1.79684,1.78806,1.64875,0.0047,0.00156667,0.0047,0.00156667,0.0047,0.00156667,0.0047,0.00156667
