epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1602.64,1.80018,1.48565,1.55802,0.63471,0.419,0.44267,0.16805,2.34797,2.33024,1.61874,0.00333246,0.00333246,0.0700079
2,3180.99,1.71709,1.37037,1.4862,0.5117,0.31994,0.32257,0.12079,2.45025,2.63134,1.79004,0.00644582,0.00644582,0.0397879
3,4757.21,1.79586,1.57785,1.56307,0.44252,0.26906,0.24279,0.08757,2.63946,2.92888,1.95208,0.00933918,0.00933918,0.00934792
4,6329.27,1.78919,1.56273,1.57785,0.51227,0.3361,0.34089,0.14465,2.33002,2.62266,1.74862,0.00901,0.00901,0.00901
5,7906.26,1.70059,1.36882,1.51057,0.53069,0.37441,0.36406,0.15887,2.27278,2.45922,1.68806,0.00868,0.00868,0.00868
6,9478.38,1.6346,1.2155,1.46774,0.56316,0.35518,0.36546,0.16772,2.20544,2.5586,1.634,0.00835,0.00835,0.00835
7,11053.1,1.59084,1.12262,1.43005,0.58066,0.34291,0.36139,0.1671,2.24478,2.49035,1.6678,0.00802,0.00802,0.00802
8,12626.5,1.55188,1.05308,1.40246,0.60538,0.38324,0.40479,0.19757,2.08058,2.4955,1.56002,0.00769,0.00769,0.00769
9,14201.3,1.52393,0.99589,1.38398,0.61819,0.37935,0.40231,0.19512,2.12958,2.59164,1.60078,0.00736,0.00736,0.00736
10,15777,1.4985,0.94953,1.36122,0.6019,0.38204,0.40636,0.1977,2.0623,2.43404,1.57161,0.00703,0.00703,0.00703
11,17352.6,1.47622,0.90934,1.33967,0.64105,0.37538,0.41462,0.2016,2.0531,2.54005,1.53664,0.0067,0.0067,0.0067
12,18923.5,1.45222,0.86523,1.32325,0.65224,0.39155,0.42455,0.21407,2.02295,2.46292,1.52375,0.00637,0.00637,0.00637
13,20497.7,1.42874,0.8408,1.3113,0.65419,0.39915,0.43595,0.21874,2.03279,2.359,1.54075,0.00604,0.00604,0.00604
14,22076.4,1.4164,0.81354,1.29682,0.67852,0.39484,0.43019,0.21924,2.01524,2.45712,1.52776,0.00571,0.00571,0.00571
15,23652.4,1.39473,0.79129,1.28309,0.64688,0.4018,0.43519,0.2197,2.02259,2.43242,1.55715,0.00538,0.00538,0.00538
16,25222.8,1.37583,0.76228,1.2644,0.66782,0.41157,0.4473,0.22752,1.98816,2.39656,1.52081,0.00505,0.00505,0.00505
17,26799,1.35505,0.74523,1.25245,0.67251,0.40127,0.43955,0.22795,1.98579,2.42491,1.51372,0.00472,0.00472,0.00472
18,28374.2,1.34308,0.72488,1.24661,0.68038,0.40277,0.43976,0.22618,1.99346,2.45352,1.51607,0.00439,0.00439,0.00439
19,29954.6,1.32172,0.70569,1.23078,0.65533,0.39776,0.43201,0.22495,1.99231,2.52238,1.52223,0.00406,0.00406,0.00406
20,31529.2,1.30928,0.68875,1.22635,0.6654,0.39611,0.43195,0.22493,1.98885,2.5142,1.53039,0.00373,0.00373,0.00373
21,33110.5,1.28509,0.67316,1.21249,0.67324,0.39888,0.43463,0.22762,1.97896,2.51233,1.52158,0.0034,0.0034,0.0034
22,34683.9,1.27463,0.65497,1.1966,0.67059,0.39401,0.43222,0.22762,1.96887,2.55019,1.50856,0.00307,0.00307,0.00307
23,36260.5,1.25248,0.63523,1.19196,0.68067,0.38608,0.42417,0.22349,1.96942,2.59287,1.51925,0.00274,0.00274,0.00274
24,37840.6,1.24107,0.62263,1.1818,0.6799,0.38062,0.41771,0.22185,1.96714,2.62,1.52101,0.00241,0.00241,0.00241
25,39415,1.22147,0.60527,1.1708,0.68358,0.3795,0.41831,0.22235,1.96647,2.61954,1.51714,0.00208,0.00208,0.00208
26,40995.7,1.20445,0.59315,1.15973,0.68556,0.37619,0.41385,0.22022,1.97061,2.65517,1.52265,0.00175,0.00175,0.00175
27,42571.7,1.18564,0.57592,1.1494,0.68507,0.37484,0.41294,0.21923,1.97806,2.67559,1.52825,0.00142,0.00142,0.00142
28,44151.4,1.17093,0.56392,1.14353,0.69075,0.37149,0.4083,0.21703,1.98834,2.7183,1.53483,0.00109,0.00109,0.00109
29,45730.2,1.149,0.54639,1.13104,0.68446,0.3703,0.40651,0.21581,1.99892,2.74296,1.5415,0.00076,0.00076,0.00076
30,47307.2,1.13414,0.53575,1.12172,0.68947,0.36813,0.40326,0.2145,2.00397,2.76274,1.54437,0.00043,0.00043,0.00043
