epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1802.97,1.78466,1.47726,1.52605,0.58751,0.3881,0.40515,0.16788,2.27019,2.43041,1.62913,0.00333257,0.00333257,0.0700069
2,3590.05,1.70697,1.37096,1.45619,0.52187,0.38354,0.36944,0.15801,2.29218,2.54415,1.65475,0.00644592,0.00644592,0.0397869
3,5373.35,1.76867,1.52205,1.52829,0.45307,0.3492,0.3078,0.12747,2.3369,2.71669,1.74254,0.00933928,0.00933928,0.00934696
4,7151.41,1.77015,1.52091,1.5564,0.52261,0.3489,0.3535,0.16147,2.23625,2.54073,1.66974,0.00901,0.00901,0.00901
5,8928.49,1.67391,1.32242,1.497,0.56263,0.348,0.37089,0.17395,2.18092,2.56346,1.61539,0.00868,0.00868,0.00868
6,10705.3,1.61775,1.19656,1.4563,0.58598,0.36874,0.38881,0.18622,2.16795,2.57727,1.65163,0.00835,0.00835,0.00835
7,12482.7,1.5767,1.10552,1.4239,0.63243,0.39723,0.43291,0.21646,2.04022,2.3856,1.53161,0.00802,0.00802,0.00802
8,14260.4,1.55226,1.0479,1.40328,0.63798,0.41338,0.44265,0.21417,2.0238,2.3799,1.54452,0.00769,0.00769,0.00769
9,16037.6,1.51559,0.98994,1.38223,0.60373,0.40571,0.42484,0.20883,2.04855,2.39001,1.57938,0.00736,0.00736,0.00736
10,17813.3,1.50065,0.94941,1.36463,0.66453,0.40953,0.44766,0.22624,2.02386,2.30673,1.56027,0.00703,0.00703,0.00703
11,19592.8,1.47134,0.90573,1.34042,0.66068,0.41594,0.45158,0.22985,2.00301,2.399,1.52727,0.0067,0.0067,0.0067
12,21371.6,1.45453,0.8776,1.32686,0.64594,0.39819,0.4342,0.2221,1.96611,2.39385,1.49808,0.00637,0.00637,0.00637
13,23145.2,1.44501,0.85908,1.31963,0.6277,0.39309,0.42791,0.22159,1.96657,2.48596,1.51049,0.00604,0.00604,0.00604
14,24922.3,1.42313,0.82302,1.30475,0.68044,0.39559,0.44436,0.23521,1.95317,2.48133,1.50903,0.00571,0.00571,0.00571
15,26707.1,1.40706,0.80461,1.29739,0.66508,0.40988,0.44612,0.23122,1.96353,2.39888,1.50758,0.00538,0.00538,0.00538
16,28487.1,1.38346,0.77637,1.27398,0.65232,0.4107,0.44449,0.23085,1.93968,2.46925,1.49848,0.00505,0.00505,0.00505
17,30269.9,1.37048,0.76009,1.27021,0.64155,0.39319,0.42481,0.21951,1.93034,2.48194,1.49972,0.00472,0.00472,0.00472
18,32053.4,1.36077,0.74493,1.26061,0.66754,0.40337,0.44064,0.2285,1.91886,2.43238,1.48779,0.00439,0.00439,0.00439
19,33831.7,1.34131,0.72358,1.24686,0.68038,0.40345,0.44282,0.23043,1.92153,2.50123,1.50146,0.00406,0.00406,0.00406
20,35621.1,1.32428,0.70705,1.23877,0.67314,0.39626,0.43521,0.22911,1.93148,2.5222,1.51453,0.00373,0.00373,0.00373
21,37407.3,1.31424,0.69136,1.23179,0.68626,0.39708,0.43847,0.2303,1.94182,2.49407,1.51927,0.0034,0.0034,0.0034
22,39193.3,1.29696,0.67031,1.21827,0.68627,0.4018,0.44103,0.2314,1.947,2.47458,1.52134,0.00307,0.00307,0.00307
23,40980.8,1.27908,0.65678,1.20851,0.67816,0.40344,0.4427,0.23151,1.94923,2.47112,1.52136,0.00274,0.00274,0.00274
24,42754.7,1.26995,0.64042,1.19873,0.67066,0.40331,0.4388,0.23074,1.94818,2.48655,1.51534,0.00241,0.00241,0.00241
25,44541.4,1.24975,0.62361,1.1931,0.67729,0.3985,0.4332,0.22853,1.95178,2.52394,1.51798,0.00208,0.00208,0.00208
26,46323.3,1.23809,0.61492,1.18224,0.68098,0.39416,0.43142,0.22788,1.95601,2.54005,1.52148,0.00175,0.00175,0.00175
27,48109,1.21729,0.59559,1.17373,0.68238,0.39207,0.42746,0.22645,1.9598,2.57349,1.5263,0.00142,0.00142,0.00142
28,49895.4,1.20675,0.58018,1.16802,0.69257,0.38676,0.4253,0.22556,1.96116,2.60213,1.52867,0.00109,0.00109,0.00109
29,51679.2,1.18475,0.56918,1.15269,0.68859,0.38825,0.42411,0.22524,1.96297,2.6148,1.53059,0.00076,0.00076,0.00076
30,53464.9,1.17049,0.55171,1.14748,0.69072,0.38803,0.4234,0.22459,1.96472,2.62908,1.53214,0.00043,0.00043,0.00043
