epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,880.643,1.32191,0.91302,1.19018,0.75936,0.61204,0.67658,0.27484,1.56253,0.73585,1.20101,0.00333186,0.00333186,0.0700132
2,1748.65,1.30291,0.92022,1.17065,0.74575,0.60262,0.65621,0.29565,1.28781,0.76064,1.10402,0.00644524,0.00644524,0.0397933
3,2620.42,1.35121,1.00159,1.20656,0.72009,0.54574,0.60873,0.23992,1.54606,0.84894,1.21432,0.00933863,0.00933863,0.00935333
4,3501.89,1.38208,1.04334,1.23245,0.73315,0.56074,0.63697,0.26784,1.38426,0.77808,1.13604,0.00901,0.00901,0.00901
5,4369.16,1.32551,0.95031,1.20562,0.75045,0.60466,0.67476,0.28828,1.36117,0.74863,1.1329,0.00868,0.00868,0.00868
6,5234.68,1.29195,0.89263,1.18543,0.75634,0.63395,0.69852,0.28921,1.40884,0.71585,1.16186,0.00835,0.00835,0.00835
7,6101.95,1.25878,0.85349,1.17071,0.76079,0.62141,0.69458,0.3048,1.3236,0.68997,1.11134,0.00802,0.00802,0.00802
8,6968.12,1.24196,0.82753,1.16134,0.76945,0.66182,0.72616,0.33342,1.26049,0.63627,1.09591,0.00769,0.00769,0.00769
9,7842.78,1.21429,0.79397,1.14855,0.77269,0.66581,0.73692,0.34917,1.16656,0.61811,1.05237,0.00736,0.00736,0.00736
10,8711.11,1.20467,0.77587,1.14391,0.77485,0.66663,0.73218,0.33042,1.32816,0.63949,1.10859,0.00703,0.00703,0.00703
11,9587.1,1.18548,0.75003,1.13453,0.78867,0.67928,0.74195,0.33011,1.2818,0.62673,1.09915,0.0067,0.0067,0.0067
12,10452,1.17113,0.73549,1.12355,0.78467,0.68678,0.75448,0.35843,1.23651,0.6049,1.07714,0.00637,0.00637,0.00637
13,11317.2,1.16624,0.71597,1.12153,0.79845,0.67541,0.75551,0.35399,1.18228,0.58377,1.05118,0.00604,0.00604,0.00604
14,12182.2,1.15035,0.70231,1.11415,0.77937,0.69298,0.75963,0.37977,1.05044,0.56501,1.0071,0.00571,0.00571,0.00571
15,13047.4,1.1371,0.68753,1.10597,0.79807,0.70324,0.76959,0.37399,1.12107,0.55789,1.0312,0.00538,0.00538,0.00538
16,13912.3,1.12214,0.67271,1.09984,0.79349,0.71114,0.77919,0.40202,0.97542,0.53742,0.98347,0.00505,0.00505,0.00505
17,14784.6,1.11479,0.66289,1.09504,0.79949,0.70525,0.77622,0.39933,0.95606,0.53041,0.97679,0.00472,0.00472,0.00472
18,15671.5,1.10731,0.64845,1.09264,0.78821,0.72017,0.77837,0.40027,0.94985,0.52314,0.97429,0.00439,0.00439,0.00439
19,16550,1.09391,0.63679,1.08383,0.80332,0.71653,0.7897,0.41089,0.95486,0.51374,0.97484,0.00406,0.00406,0.00406
20,17432.4,1.08929,0.62402,1.08108,0.80275,0.72438,0.79247,0.41669,0.93491,0.50936,0.96783,0.00373,0.00373,0.00373
21,18299,1.07167,0.61043,1.07251,0.81352,0.72297,0.79428,0.41692,0.92789,0.50009,0.9653,0.0034,0.0034,0.0034
22,19166,1.06649,0.60065,1.06966,0.80072,0.72763,0.79627,0.42117,0.9048,0.4932,0.95913,0.00307,0.00307,0.00307
23,20031.8,1.05266,0.58821,1.06353,0.80052,0.7341,0.79615,0.42338,0.89607,0.48607,0.95709,0.00274,0.00274,0.00274
24,20901,1.03966,0.57429,1.0571,0.80106,0.73724,0.7996,0.41786,0.90036,0.48237,0.95965,0.00241,0.00241,0.00241
25,21766.8,1.03524,0.56705,1.05659,0.80555,0.73855,0.80102,0.42627,0.89706,0.47839,0.95743,0.00208,0.00208,0.00208
26,22633.4,1.02631,0.55467,1.05131,0.81387,0.73457,0.80448,0.43346,0.85587,0.46816,0.94489,0.00175,0.00175,0.00175
27,23499.5,1.01429,0.54517,1.04546,0.81141,0.73835,0.8054,0.43297,0.86896,0.4697,0.94884,0.00142,0.00142,0.00142
28,24368,1.00225,0.53323,1.0406,0.81425,0.73468,0.80463,0.43296,0.8728,0.46638,0.94985,0.00109,0.00109,0.00109
29,25232.7,0.99291,0.52455,1.0369,0.80978,0.74502,0.80466,0.43175,0.86904,0.46655,0.9483,0.00076,0.00076,0.00076
30,26097.9,0.98021,0.51475,1.02933,0.81362,0.73796,0.80404,0.43192,0.86131,0.46445,0.94614,0.00043,0.00043,0.00043
