epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,963.135,1.57473,1.00669,1.15614,0.77213,0.56798,0.64542,0.30988,1.95053,1.87111,1.4002,0.00333186,0.00333186,0.0700132
2,1901.12,1.55379,1.01885,1.14853,0.74159,0.54643,0.61711,0.29402,2.09735,2.20497,1.46818,0.00644524,0.00644524,0.0397933
3,2843.58,1.61244,1.11539,1.18753,0.67821,0.50255,0.55793,0.25445,2.25106,2.49105,1.5881,0.00933863,0.00933863,0.00935333
4,3782.16,1.63297,1.15444,1.21313,0.71867,0.52346,0.58664,0.28562,2.03656,2.13686,1.5026,0.00901,0.00901,0.00901
5,4720.06,1.57731,1.05363,1.18501,0.72114,0.56078,0.61158,0.30727,2.03612,2.03933,1.47066,0.00868,0.00868,0.00868
6,5658.1,1.53786,0.99535,1.16528,0.74871,0.56898,0.63968,0.32683,1.97959,1.9784,1.43126,0.00835,0.00835,0.00835
7,6602.17,1.49979,0.94961,1.15285,0.75107,0.57542,0.64421,0.31996,2.00726,1.91815,1.48262,0.00802,0.00802,0.00802
8,7542.32,1.48883,0.92383,1.14333,0.76903,0.59651,0.6634,0.34566,2.0112,1.96512,1.48327,0.00769,0.00769,0.00769
9,8489.63,1.45452,0.88472,1.12656,0.77571,0.60662,0.67646,0.36083,1.9188,1.75434,1.45417,0.00736,0.00736,0.00736
10,9383.83,1.44488,0.86674,1.12344,0.77848,0.61682,0.68039,0.36598,1.91853,1.79203,1.42672,0.00703,0.00703,0.00703
11,10329.1,1.42359,0.83684,1.11658,0.79312,0.62094,0.69917,0.37373,1.88527,1.74736,1.41053,0.0067,0.0067,0.0067
12,11228,1.4061,0.82076,1.10436,0.78162,0.62599,0.70164,0.38264,1.80324,1.72765,1.38856,0.00637,0.00637,0.00637
13,12165.6,1.40207,0.80433,1.10383,0.7918,0.64418,0.71045,0.36501,1.90699,1.6615,1.40797,0.00604,0.00604,0.00604
14,13075.9,1.38314,0.78949,1.09881,0.78791,0.64188,0.70562,0.38431,1.82695,1.68883,1.38454,0.00571,0.00571,0.00571
15,14015.4,1.37101,0.77094,1.09065,0.78342,0.63973,0.70232,0.38541,1.80837,1.69114,1.37636,0.00538,0.00538,0.00538
16,14936.6,1.35432,0.75565,1.08187,0.79898,0.65292,0.72072,0.39613,1.80801,1.64795,1.37416,0.00505,0.00505,0.00505
17,15833.3,1.34267,0.74506,1.08027,0.82174,0.64828,0.72188,0.397,1.81945,1.68772,1.3855,0.00472,0.00472,0.00472
18,16749.5,1.33398,0.72908,1.07712,0.81068,0.65492,0.72402,0.40036,1.82207,1.70709,1.38157,0.00439,0.00439,0.00439
19,17662,1.32306,0.71768,1.07043,0.80145,0.66725,0.72712,0.4029,1.79346,1.6429,1.37539,0.00406,0.00406,0.00406
20,18567.9,1.31727,0.70217,1.06863,0.81776,0.67096,0.74083,0.41496,1.77356,1.60039,1.36298,0.00373,0.00373,0.00373
21,19480.3,1.29936,0.68851,1.06129,0.82257,0.66975,0.74536,0.41397,1.78152,1.58486,1.35303,0.0034,0.0034,0.0034
22,20380.5,1.29336,0.67742,1.05881,0.82443,0.66908,0.74277,0.41387,1.78804,1.64995,1.36721,0.00307,0.00307,0.00307
23,21287.5,1.27804,0.66424,1.05261,0.82201,0.67334,0.74474,0.41448,1.78173,1.59978,1.36734,0.00274,0.00274,0.00274
24,22184.7,1.26397,0.64989,1.04515,0.81998,0.68172,0.74541,0.41689,1.78709,1.62467,1.36823,0.00241,0.00241,0.00241
25,23103.3,1.25525,0.64143,1.04294,0.82333,0.68005,0.74701,0.41933,1.78271,1.60499,1.37219,0.00208,0.00208,0.00208
26,24003.5,1.24941,0.62942,1.04007,0.82531,0.6836,0.74988,0.41975,1.77733,1.58373,1.36638,0.00175,0.00175,0.00175
27,24906.7,1.23707,0.61943,1.03408,0.82071,0.68403,0.74757,0.42007,1.76756,1.6098,1.36136,0.00142,0.00142,0.00142
28,25809.2,1.22503,0.6071,1.02757,0.81907,0.68275,0.74563,0.41999,1.77917,1.6254,1.36866,0.00109,0.00109,0.00109
29,26713.7,1.21058,0.59564,1.02406,0.82168,0.68257,0.74572,0.41875,1.78774,1.64947,1.36918,0.00076,0.00076,0.00076
30,27614.3,1.19793,0.58456,1.01808,0.82544,0.67983,0.74594,0.41826,1.79018,1.64361,1.37586,0.00043,0.00043,0.00043
