epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,878.73,1.57473,1.00669,1.15614,0.75879,0.59611,0.67568,0.30671,1.59104,0.80775,1.10762,0.00333186,0.00333186,0.0700132
2,1746.06,1.55379,1.01885,1.14853,0.73323,0.58979,0.6635,0.3139,1.47216,0.84269,1.06644,0.00644524,0.00644524,0.0397933
3,2613.19,1.61244,1.11539,1.18753,0.68353,0.54176,0.59835,0.25457,1.80435,1.03679,1.21826,0.00933863,0.00933863,0.00935333
4,3476.28,1.63297,1.15444,1.21313,0.73596,0.56909,0.64251,0.29437,1.56081,0.84851,1.12618,0.00901,0.00901,0.00901
5,4338.55,1.57734,1.05372,1.1851,0.73972,0.59389,0.67111,0.33506,1.34204,0.77463,1.04051,0.00868,0.00868,0.00868
6,5201.25,1.53836,0.99688,1.16486,0.74645,0.62598,0.69854,0.33403,1.45727,0.75652,1.09057,0.00835,0.00835,0.00835
7,6063.11,1.49895,0.95195,1.15105,0.76812,0.6162,0.69939,0.35014,1.30964,0.72733,1.03383,0.00802,0.00802,0.00802
8,6925.83,1.48802,0.92048,1.1419,0.78673,0.64382,0.73197,0.36994,1.35755,0.69639,1.05624,0.00769,0.00769,0.00769
9,7788.38,1.45609,0.88597,1.12908,0.78323,0.64636,0.73243,0.37506,1.28226,0.68376,1.01725,0.00736,0.00736,0.00736
10,8651.44,1.44436,0.86897,1.12531,0.77113,0.67131,0.74645,0.38931,1.19186,0.66611,0.98709,0.00703,0.00703,0.00703
11,9514.75,1.42259,0.83766,1.11564,0.77548,0.67203,0.74668,0.38166,1.25974,0.65907,1.0074,0.0067,0.0067,0.0067
12,10377,1.40741,0.82568,1.10374,0.78543,0.67833,0.75705,0.40213,1.1599,0.63186,0.97975,0.00637,0.00637,0.00637
13,11240.6,1.40268,0.80451,1.10465,0.7933,0.68602,0.76361,0.40167,1.17445,0.6245,0.97882,0.00604,0.00604,0.00604
14,12103.1,1.3837,0.7901,1.09831,0.79072,0.68953,0.76736,0.40467,1.16646,0.61913,0.97772,0.00571,0.00571,0.00571
15,12966.1,1.37088,0.77122,1.08792,0.806,0.69814,0.77225,0.40852,1.158,0.60038,0.9679,0.00538,0.00538,0.00538
16,13828.3,1.35557,0.75802,1.0823,0.79837,0.69897,0.77613,0.41368,1.17711,0.59791,0.97853,0.00505,0.00505,0.00505
17,14691.5,1.34426,0.74625,1.07911,0.79974,0.70543,0.77856,0.41336,1.13853,0.58039,0.96427,0.00472,0.00472,0.00472
18,15554.7,1.33626,0.7299,1.07662,0.80232,0.70973,0.78483,0.41776,1.15089,0.58658,0.96568,0.00439,0.00439,0.00439
19,16534.2,1.32529,0.7202,1.06908,0.80515,0.71219,0.78837,0.42249,1.1364,0.57997,0.96346,0.00406,0.00406,0.00406
20,17431.5,1.31866,0.70388,1.06735,0.80636,0.71735,0.78968,0.42601,1.12702,0.56967,0.96038,0.00373,0.00373,0.00373
21,18295.3,1.3004,0.6878,1.06009,0.8091,0.71641,0.79251,0.42368,1.13666,0.55896,0.96153,0.0034,0.0034,0.0034
22,19157.8,1.29357,0.67981,1.05843,0.80608,0.72192,0.79426,0.42845,1.11081,0.55685,0.95577,0.00307,0.00307,0.00307
23,20021.5,1.27942,0.66471,1.0554,0.81818,0.71635,0.79871,0.4332,1.0816,0.53986,0.95037,0.00274,0.00274,0.00274
24,20884.9,1.26442,0.65235,1.04507,0.81577,0.72303,0.79685,0.43422,1.07431,0.54124,0.94627,0.00241,0.00241,0.00241
25,21748.2,1.25643,0.64118,1.04253,0.81671,0.72757,0.80146,0.43574,1.0801,0.53246,0.94709,0.00208,0.00208,0.00208
26,22613,1.24989,0.62997,1.03848,0.82207,0.73035,0.80491,0.43846,1.05574,0.52432,0.94104,0.00175,0.00175,0.00175
27,23477.2,1.2377,0.6188,1.03235,0.81689,0.73445,0.80518,0.43745,1.07091,0.52611,0.94301,0.00142,0.00142,0.00142
28,24342.6,1.2251,0.60665,1.02908,0.81414,0.73373,0.80479,0.43957,1.06481,0.52057,0.94176,0.00109,0.00109,0.00109
29,25205.7,1.21061,0.5968,1.02507,0.81887,0.73184,0.80628,0.43955,1.06402,0.51887,0.94091,0.00076,0.00076,0.00076
30,26067.9,1.19763,0.58522,1.01973,0.81418,0.7375,0.80653,0.43903,1.06294,0.51776,0.94178,0.00043,0.00043,0.00043
