epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1350.8,2.03864,1.75958,2.50362,0.73385,0.55573,0.61455,0.25757,2.20242,2.27128,2.51063,0.00333223,0.00333223,0.0700099
2,2684.67,1.70293,1.37546,1.98396,0.69947,0.53841,0.59079,0.24524,2.22521,2.40609,2.48347,0.0064456,0.0064456,0.03979
3,4023.83,1.6931,1.40887,1.93409,0.64948,0.47144,0.50841,0.17509,2.43903,2.58628,2.63746,0.00933897,0.00933897,0.00935
4,5352.85,1.68879,1.3805,1.9239,0.70451,0.51513,0.58519,0.28738,2.06033,2.38304,2.29458,0.00901,0.00901,0.00901
5,6709.45,1.62446,1.25052,1.85326,0.71876,0.52235,0.5881,0.2885,2.11005,2.49023,2.35692,0.00868,0.00868,0.00868
6,8038.83,1.573,1.16024,1.80819,0.75971,0.54474,0.61915,0.30139,2.03728,2.36041,2.25838,0.00835,0.00835,0.00835
7,9394.24,1.54789,1.10858,1.77804,0.74723,0.56271,0.63381,0.30974,2.04806,2.18395,2.29895,0.00802,0.00802,0.00802
8,10722.8,1.51476,1.05695,1.75022,0.77295,0.58259,0.66042,0.32173,2.03183,2.11177,2.25826,0.00769,0.00769,0.00769
9,12050.8,1.50196,1.03768,1.73617,0.7616,0.59475,0.66355,0.34107,1.93058,2.06837,2.18713,0.00736,0.00736,0.00736
10,13392.6,1.47303,0.98506,1.70807,0.76877,0.60475,0.67932,0.35458,1.9217,1.94043,2.17966,0.00703,0.00703,0.00703
11,14721.6,1.46265,0.96348,1.7018,0.77036,0.61979,0.68074,0.35894,1.88002,1.94764,2.15118,0.0067,0.0067,0.0067
12,16065.9,1.44364,0.93196,1.67683,0.75751,0.63067,0.68766,0.36601,1.86719,1.90584,2.1349,0.00637,0.00637,0.00637
13,17406.1,1.42632,0.90851,1.65914,0.78847,0.62614,0.69884,0.37882,1.85812,1.82739,2.11364,0.00604,0.00604,0.00604
14,18741.3,1.41164,0.89258,1.65602,0.77611,0.64379,0.70565,0.38244,1.85454,1.87165,2.12861,0.00571,0.00571,0.00571
15,20086.9,1.40221,0.86558,1.64702,0.79483,0.64111,0.71146,0.38966,1.81317,1.86955,2.07865,0.00538,0.00538,0.00538
16,21431,1.39409,0.85458,1.62953,0.78409,0.65352,0.71266,0.3928,1.81344,1.84436,2.08367,0.00505,0.00505,0.00505
17,22766.8,1.38194,0.83316,1.62062,0.7977,0.65614,0.72507,0.39517,1.87283,1.82272,2.11804,0.00472,0.00472,0.00472
18,24111.4,1.37856,0.82619,1.622,0.80226,0.6596,0.72943,0.40513,1.8196,1.81035,2.07895,0.00439,0.00439,0.00439
19,25446.3,1.35409,0.79593,1.60411,0.79853,0.66573,0.72776,0.40095,1.8383,1.77575,2.10934,0.00406,0.00406,0.00406
20,26779.2,1.34462,0.78924,1.59536,0.80366,0.67242,0.73636,0.40635,1.80941,1.75379,2.08416,0.00373,0.00373,0.00373
21,28116.9,1.33801,0.77271,1.58525,0.80742,0.66671,0.7318,0.40686,1.81603,1.80177,2.10319,0.0034,0.0034,0.0034
22,29452.5,1.32794,0.76279,1.58204,0.81425,0.66817,0.736,0.40848,1.80115,1.8136,2.08559,0.00307,0.00307,0.00307
23,30783.9,1.31112,0.74442,1.56512,0.81993,0.67663,0.74273,0.41167,1.82153,1.77023,2.11152,0.00274,0.00274,0.00274
24,32127.4,1.30576,0.73007,1.56123,0.8167,0.6732,0.73962,0.41267,1.7924,1.78412,2.07787,0.00241,0.00241,0.00241
25,33466.8,1.28949,0.7097,1.54627,0.81784,0.67552,0.74129,0.41458,1.82898,1.80564,2.10868,0.00208,0.00208,0.00208
26,34799,1.28221,0.70292,1.54091,0.82061,0.67921,0.74376,0.4178,1.80015,1.78465,2.09095,0.00175,0.00175,0.00175
27,36134.3,1.27351,0.6906,1.53234,0.82596,0.68026,0.74641,0.41885,1.7938,1.76961,2.08744,0.00142,0.00142,0.00142
28,37468.4,1.2615,0.67539,1.52248,0.82576,0.68436,0.74879,0.41897,1.80609,1.77346,2.09421,0.00109,0.00109,0.00109
29,38801.3,1.24789,0.66477,1.51205,0.82759,0.68202,0.7489,0.41935,1.81039,1.78837,2.0976,0.00076,0.00076,0.00076
30,40140.1,1.23093,0.65185,1.5031,0.82871,0.68244,0.74759,0.41779,1.82344,1.82551,2.11692,0.00043,0.00043,0.00043
