epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,997.283,1.56974,1.00237,1.16542,0.74079,0.61778,0.678,0.29667,1.75399,0.84546,1.15198,0.00333203,0.00333203,0.0700117
2,2055.9,1.546,1.00907,1.1532,0.72287,0.57866,0.64022,0.25551,1.96841,0.90518,1.29058,0.00644541,0.00644541,0.0397917
3,3422.29,1.60849,1.11761,1.19835,0.68944,0.55546,0.60712,0.23459,2.07426,1.05109,1.37415,0.00933879,0.00933879,0.00935178
4,4574.02,1.63367,1.13931,1.21999,0.73112,0.53542,0.60869,0.26088,1.69679,0.92438,1.17816,0.00901,0.00901,0.00901
5,5667.02,1.57909,1.05739,1.19544,0.74383,0.58463,0.65568,0.29696,1.53847,0.82623,1.1215,0.00868,0.00868,0.00868
6,6641.48,1.5384,0.9924,1.17453,0.73559,0.60829,0.6756,0.29422,1.73516,0.84703,1.19767,0.00835,0.00835,0.00835
7,7616.15,1.50006,0.94293,1.1581,0.75447,0.64644,0.71379,0.34319,1.45998,0.75506,1.08162,0.00802,0.00802,0.00802
8,8626.7,1.47519,0.90455,1.14597,0.7656,0.63184,0.7053,0.3179,1.65026,0.75042,1.16446,0.00769,0.00769,0.00769
9,9605.75,1.45092,0.87569,1.13739,0.77213,0.64953,0.71924,0.32061,1.67492,0.74654,1.17132,0.00736,0.00736,0.00736
10,10579.2,1.44121,0.8529,1.12776,0.7702,0.66405,0.73465,0.35514,1.38938,0.67498,1.04978,0.00703,0.00703,0.00703
11,11553,1.42298,0.83267,1.116,0.78797,0.67301,0.75129,0.37575,1.37814,0.68369,1.04425,0.0067,0.0067,0.0067
12,12529.1,1.40211,0.80663,1.11142,0.77976,0.6842,0.75283,0.36741,1.46299,0.67347,1.06721,0.00637,0.00637,0.00637
13,13503.7,1.39396,0.79623,1.10487,0.78513,0.69255,0.75805,0.35246,1.51913,0.67253,1.08248,0.00604,0.00604,0.00604
14,14477.4,1.38362,0.77664,1.09853,0.79413,0.68314,0.75821,0.35543,1.51881,0.6656,1.08855,0.00571,0.00571,0.00571
15,15451.5,1.36353,0.75702,1.09351,0.79913,0.6931,0.77025,0.38434,1.3195,0.62116,1.01839,0.00538,0.00538,0.00538
16,16443,1.34556,0.73775,1.08165,0.7862,0.69591,0.76213,0.35356,1.51364,0.64544,1.07671,0.00505,0.00505,0.00505
17,17431,1.33841,0.72766,1.08011,0.80291,0.70578,0.781,0.41555,1.15084,0.57961,0.96767,0.00472,0.00472,0.00472
18,18406.1,1.33186,0.71686,1.0763,0.79765,0.7088,0.78735,0.4184,1.14171,0.5736,0.96123,0.00439,0.00439,0.00439
19,19382,1.32243,0.7069,1.07274,0.80604,0.70679,0.78348,0.40127,1.23016,0.57711,0.98559,0.00406,0.00406,0.00406
20,20356.7,1.31028,0.69278,1.06731,0.80338,0.72224,0.79115,0.42014,1.14133,0.57029,0.96334,0.00373,0.00373,0.00373
21,21331.4,1.29873,0.68144,1.06588,0.81573,0.70259,0.78128,0.38888,1.2264,0.56794,0.98459,0.0034,0.0034,0.0034
22,22306.4,1.27426,0.66235,1.05591,0.81542,0.70938,0.78566,0.40086,1.15497,0.55182,0.96915,0.00307,0.00307,0.00307
23,23281.6,1.26776,0.65078,1.05175,0.79853,0.72414,0.78787,0.39053,1.26294,0.56514,0.99703,0.00274,0.00274,0.00274
24,24257.2,1.26302,0.64237,1.04973,0.81844,0.71441,0.79092,0.39517,1.254,0.56039,0.9918,0.00241,0.00241,0.00241
25,25233.5,1.24417,0.62611,1.04165,0.80361,0.70927,0.77534,0.35574,1.53914,0.61218,1.08207,0.00208,0.00208,0.00208
26,26208.9,1.24065,0.61978,1.03779,0.80403,0.71817,0.782,0.37458,1.36996,0.5776,1.02282,0.00175,0.00175,0.00175
27,27185,1.22209,0.60369,1.03095,0.81334,0.72449,0.79693,0.40709,1.18278,0.54145,0.96879,0.00142,0.00142,0.00142
28,28161.3,1.21357,0.59498,1.02778,0.80873,0.73012,0.79758,0.41389,1.14814,0.53107,0.96099,0.00109,0.00109,0.00109
29,29137.9,1.20492,0.58533,1.02489,0.81161,0.73223,0.80015,0.41938,1.13587,0.52803,0.95765,0.00076,0.00076,0.00076
30,30114.9,1.19708,0.57785,1.01996,0.81008,0.7348,0.80224,0.424,1.12611,0.52654,0.95534,0.00043,0.00043,0.00043
