epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1593,1.91033,2.05926,1.75838,0.47777,0.38285,0.35762,0.1521,2.19571,2.49987,1.58755,0.00333245,0.00333245,0.070008
2,3177.82,1.66875,1.23043,1.47293,0.57002,0.39918,0.41049,0.19349,2.07242,2.38989,1.50997,0.00644581,0.00644581,0.039788
3,4742.93,1.62275,1.13389,1.43573,0.53235,0.37763,0.37151,0.17967,2.03966,2.48909,1.53924,0.00933917,0.00933917,0.00934804
4,6297.97,1.60224,1.094,1.42484,0.59565,0.38833,0.40024,0.19429,2.07522,2.5203,1.56506,0.00901,0.00901,0.00901
5,7865.93,1.55274,1.01229,1.39621,0.60489,0.41915,0.44377,0.2192,2.03815,2.34037,1.54244,0.00868,0.00868,0.00868
6,9422.91,1.51937,0.94188,1.37107,0.61951,0.39093,0.42163,0.21004,2.0443,2.41303,1.55485,0.00835,0.00835,0.00835
7,10989,1.49562,0.89878,1.35362,0.60755,0.3795,0.41713,0.20735,2.01479,2.49509,1.50042,0.00802,0.00802,0.00802
8,12546.4,1.47151,0.87204,1.33649,0.6157,0.43923,0.44791,0.22475,1.9754,2.35061,1.50641,0.00769,0.00769,0.00769
9,14110.5,1.44742,0.84083,1.31886,0.65798,0.44819,0.47259,0.23041,1.99185,2.168,1.52203,0.00736,0.00736,0.00736
10,15674.3,1.42803,0.80471,1.30598,0.65141,0.42855,0.45753,0.23446,1.96078,2.25496,1.49585,0.00703,0.00703,0.00703
11,17237.5,1.41445,0.78582,1.29444,0.66678,0.40695,0.44775,0.2231,2.01462,2.51577,1.52548,0.0067,0.0067,0.0067
12,18802.6,1.3922,0.77032,1.28875,0.67303,0.43726,0.46568,0.23492,2.00392,2.33259,1.52748,0.00637,0.00637,0.00637
13,20362.7,1.3862,0.75296,1.27292,0.65364,0.41616,0.44783,0.22958,1.94623,2.36873,1.50002,0.00604,0.00604,0.00604
14,21925.6,1.36022,0.72755,1.2648,0.66112,0.42155,0.45537,0.23683,1.95348,2.33783,1.49791,0.00571,0.00571,0.00571
15,23487,1.34229,0.70339,1.25092,0.68275,0.41048,0.44943,0.23845,1.93081,2.36181,1.48318,0.00538,0.00538,0.00538
16,25044.1,1.32941,0.69529,1.23794,0.64726,0.40997,0.43726,0.23174,1.9372,2.321,1.5054,0.00505,0.00505,0.00505
17,26604.6,1.31809,0.67791,1.23274,0.66309,0.42447,0.45638,0.23994,1.93092,2.29254,1.49751,0.00472,0.00472,0.00472
18,28172.3,1.29806,0.6656,1.22079,0.65286,0.42058,0.45649,0.2426,1.91822,2.30887,1.49482,0.00439,0.00439,0.00439
19,29737.9,1.27719,0.655,1.21536,0.68962,0.41698,0.46249,0.24456,1.91547,2.29265,1.48786,0.00406,0.00406,0.00406
20,31301.1,1.25355,0.63464,1.19429,0.67066,0.4119,0.44979,0.23888,1.93792,2.35259,1.50656,0.00373,0.00373,0.00373
21,32866,1.22917,0.62066,1.18348,0.66974,0.40082,0.4382,0.23326,1.93743,2.40584,1.51035,0.0034,0.0034,0.0034
22,34431.8,1.21246,0.61007,1.1704,0.6864,0.40401,0.44121,0.23606,1.93746,2.39929,1.50873,0.00307,0.00307,0.00307
23,35995.2,1.19418,0.5901,1.16249,0.6966,0.40831,0.44896,0.2391,1.9423,2.39112,1.51614,0.00274,0.00274,0.00274
24,37557.2,1.1771,0.57602,1.15036,0.67972,0.41968,0.45109,0.23938,1.95159,2.4049,1.52899,0.00241,0.00241,0.00241
25,39122.2,1.16534,0.56308,1.14328,0.69494,0.40471,0.4431,0.23694,1.9641,2.45182,1.54306,0.00208,0.00208,0.00208
26,40686.4,1.14992,0.54801,1.13233,0.69824,0.40621,0.44262,0.23607,1.96451,2.46846,1.54462,0.00175,0.00175,0.00175
27,42250.2,1.13285,0.53875,1.12236,0.68618,0.40591,0.43886,0.23525,1.96688,2.49745,1.54931,0.00142,0.00142,0.00142
28,43815.1,1.12383,0.53023,1.12089,0.69573,0.40905,0.44233,0.23652,1.97081,2.51003,1.55178,0.00109,0.00109,0.00109
29,45372.1,1.10693,0.51456,1.1099,0.70011,0.40753,0.43972,0.23531,1.9737,2.53329,1.55306,0.00076,0.00076,0.00076
30,46927.4,1.09198,0.50686,1.10543,0.69896,0.40823,0.43898,0.23465,1.97375,2.55118,1.55579,0.00043,0.00043,0.00043
