timestamp, temperature.gpu, power.draw [W], power.limit [W], utilization.gpu [%], memory.used [MiB], fan.speed [%], pcie.link.gen.current, clocks_event_reasons.active
2026/09/14 00:40:45.559, 37, 23.36 W, 300.00 W, 0 %, 1 MiB, 0 %, 1, 0x0000000000000001
2026/09/14 00:41:15.572, 41, 25.23 W, 300.00 W, 0 %, 508 MiB, 0 %, 1, 0x0000000000000001
2026/09/14 00:41:45.576, 56, 298.50 W, 300.00 W, 95 %, 6810 MiB, 58 %, 4, 0x0000000000000004
2026/09/14 00:42:15.578, 59, 298.23 W, 300.00 W, 95 %, 6810 MiB, 66 %, 4, 0x0000000000000004
2026/09/14 00:42:45.580, 61, 298.47 W, 300.00 W, 95 %, 6810 MiB, 68 %, 4, 0x0000000000000004
2026/09/14 00:43:15.582, 62, 298.35 W, 300.00 W, 97 %, 6810 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 00:43:45.584, 63, 298.84 W, 300.00 W, 92 %, 6810 MiB, 71 %, 4, 0x0000000000000004
2026/09/14 00:44:15.586, 64, 297.98 W, 300.00 W, 95 %, 6810 MiB, 71 %, 4, 0x0000000000000004
2026/09/14 00:44:45.588, 64, 297.93 W, 300.00 W, 95 %, 6810 MiB, 72 %, 4, 0x0000000000000004
2026/09/14 00:45:15.590, 64, 298.41 W, 300.00 W, 94 %, 6810 MiB, 72 %, 4, 0x0000000000000004
2026/09/14 00:45:45.592, 64, 298.62 W, 300.00 W, 96 %, 6810 MiB, 73 %, 4, 0x0000000000000004
2026/09/14 00:46:15.594, 64, 297.04 W, 300.00 W, 95 %, 6810 MiB, 73 %, 4, 0x0000000000000004
2026/09/14 00:46:45.596, 64, 297.99 W, 300.00 W, 95 %, 6810 MiB, 73 %, 4, 0x0000000000000004
2026/09/14 00:47:15.598, 64, 298.15 W, 300.00 W, 95 %, 6810 MiB, 73 %, 4, 0x0000000000000004
2026/09/14 00:47:45.600, 64, 297.71 W, 300.00 W, 100 %, 6810 MiB, 74 %, 4, 0x0000000000000004
