timestamp, temperature.gpu, power.draw [W], power.limit [W], utilization.gpu [%], memory.used [MiB], fan.speed [%], pcie.link.gen.current, clocks.current.graphics [MHz], clocks_event_reasons.active
2026/09/14 05:22:50.476, 32, 18.96 W, 250.00 W, 0 %, 1 MiB, 0 %, 1, 300 MHz, 0x0000000000000001
2026/09/14 05:23:20.492, 39, 109.64 W, 250.00 W, 1 %, 6324 MiB, 0 %, 3, 1590 MHz, 0x0000000000000000
2026/09/14 05:23:50.493, 54, 240.74 W, 250.00 W, 95 %, 6810 MiB, 0 %, 3, 1590 MHz, 0x0000000000000004
2026/09/14 05:24:20.495, 56, 242.54 W, 250.00 W, 99 %, 6810 MiB, 63 %, 3, 1590 MHz, 0x0000000000000004
2026/09/14 05:24:50.497, 57, 239.31 W, 250.00 W, 97 %, 6810 MiB, 64 %, 3, 1590 MHz, 0x0000000000000004
2026/09/14 05:25:20.499, 58, 239.73 W, 250.00 W, 95 %, 6810 MiB, 65 %, 3, 1575 MHz, 0x0000000000000004
2026/09/14 05:25:50.501, 59, 245.85 W, 250.00 W, 94 %, 6810 MiB, 66 %, 3, 1590 MHz, 0x0000000000000000
2026/09/14 05:26:20.502, 58, 240.64 W, 250.00 W, 95 %, 6810 MiB, 66 %, 3, 1590 MHz, 0x0000000000000004
2026/09/14 05:26:50.504, 60, 245.19 W, 250.00 W, 99 %, 6810 MiB, 67 %, 3, 1575 MHz, 0x0000000000000004
2026/09/14 05:27:20.506, 60, 247.60 W, 250.00 W, 95 %, 6810 MiB, 67 %, 3, 1575 MHz, 0x0000000000000004
2026/09/14 05:27:50.509, 60, 241.77 W, 250.00 W, 95 %, 6810 MiB, 68 %, 3, 1530 MHz, 0x0000000000000004
2026/09/14 05:28:20.510, 59, 239.67 W, 250.00 W, 95 %, 6810 MiB, 68 %, 3, 1575 MHz, 0x0000000000000004
2026/09/14 05:28:50.512, 60, 248.16 W, 250.00 W, 95 %, 6810 MiB, 68 %, 3, 1545 MHz, 0x0000000000000000
2026/09/14 05:29:20.513, 59, 241.71 W, 250.00 W, 95 %, 6810 MiB, 68 %, 3, 1590 MHz, 0x0000000000000004
2026/09/14 05:29:50.515, 60, 237.60 W, 250.00 W, 95 %, 6810 MiB, 68 %, 3, 1590 MHz, 0x0000000000000004
2026/09/14 05:30:20.518, 60, 244.83 W, 250.00 W, 95 %, 6810 MiB, 69 %, 3, 1515 MHz, 0x0000000000000004
2026/09/14 05:30:50.520, 59, 239.65 W, 250.00 W, 99 %, 6810 MiB, 69 %, 3, 1590 MHz, 0x0000000000000004
2026/09/14 05:31:20.522, 60, 242.18 W, 250.00 W, 99 %, 6810 MiB, 69 %, 3, 1500 MHz, 0x0000000000000004
2026/09/14 05:31:50.523, 61, 244.37 W, 250.00 W, 95 %, 6810 MiB, 69 %, 3, 1590 MHz, 0x0000000000000004
2026/09/14 05:32:20.525, 60, 248.19 W, 250.00 W, 95 %, 6810 MiB, 69 %, 3, 1590 MHz, 0x0000000000000000
2026/09/14 05:32:50.526, 60, 253.57 W, 250.00 W, 100 %, 6810 MiB, 69 %, 3, 795 MHz, 0x0000000000000004
