timestamp, temperature.gpu, power.draw [W], power.limit [W], utilization.gpu [%], memory.used [MiB], fan.speed [%], pcie.link.gen.current, clocks_event_reasons.active
2026/09/14 03:46:00.656, 38, 12.81 W, 300.00 W, 0 %, 1 MiB, 0 %, 1, 0x0000000000000001
2026/09/14 03:46:10.667, 44, 123.79 W, 300.00 W, 1 %, 6140 MiB, 0 %, 4, 0x0000000000000000
2026/09/14 03:46:20.669, 55, 297.22 W, 300.00 W, 96 %, 6672 MiB, 0 %, 4, 0x0000000000000004
2026/09/14 03:46:30.671, 57, 297.39 W, 300.00 W, 94 %, 6672 MiB, 63 %, 4, 0x0000000000000004
2026/09/14 03:46:40.673, 58, 297.94 W, 300.00 W, 95 %, 6672 MiB, 65 %, 4, 0x0000000000000004
2026/09/14 03:46:50.675, 59, 296.83 W, 300.00 W, 96 %, 6672 MiB, 66 %, 4, 0x0000000000000004
2026/09/14 03:47:00.678, 60, 297.42 W, 300.00 W, 94 %, 6672 MiB, 67 %, 4, 0x0000000000000004
2026/09/14 03:47:10.680, 60, 296.77 W, 300.00 W, 95 %, 6672 MiB, 68 %, 4, 0x0000000000000004
2026/09/14 03:47:20.683, 61, 298.71 W, 300.00 W, 95 %, 6672 MiB, 68 %, 4, 0x0000000000000004
2026/09/14 03:47:30.685, 62, 298.16 W, 300.00 W, 95 %, 6672 MiB, 69 %, 4, 0x0000000000000004
2026/09/14 03:47:40.688, 62, 298.72 W, 300.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:47:50.690, 63, 296.58 W, 300.00 W, 95 %, 6672 MiB, 70 %, 4, 0x0000000000000004
2026/09/14 03:48:00.692, 63, 298.60 W, 300.00 W, 95 %, 6672 MiB, 71 %, 4, 0x0000000000000004
2026/09/14 03:48:10.695, 63, 299.15 W, 300.00 W, 97 %, 6672 MiB, 71 %, 4, 0x0000000000000004
2026/09/14 03:48:20.697, 63, 297.06 W, 300.00 W, 95 %, 6672 MiB, 71 %, 4, 0x0000000000000004
2026/09/14 03:48:30.699, 64, 299.26 W, 300.00 W, 95 %, 6672 MiB, 71 %, 4, 0x0000000000000004
2026/09/14 03:48:40.702, 64, 297.83 W, 300.00 W, 97 %, 6672 MiB, 72 %, 4, 0x0000000000000004
2026/09/14 03:48:50.704, 64, 298.48 W, 300.00 W, 95 %, 6672 MiB, 72 %, 4, 0x0000000000000004
2026/09/14 03:49:00.707, 64, 298.41 W, 300.00 W, 95 %, 6672 MiB, 72 %, 4, 0x0000000000000004
2026/09/14 03:49:10.708, 64, 297.43 W, 300.00 W, 96 %, 6672 MiB, 72 %, 4, 0x0000000000000004
2026/09/14 03:49:20.711, 64, 297.67 W, 300.00 W, 95 %, 6672 MiB, 72 %, 4, 0x0000000000000004
2026/09/14 03:49:30.713, 64, 297.02 W, 300.00 W, 92 %, 6672 MiB, 73 %, 4, 0x0000000000000004
2026/09/14 03:49:40.716, 64, 298.84 W, 300.00 W, 94 %, 6672 MiB, 73 %, 4, 0x0000000000000004
2026/09/14 03:49:50.719, 65, 298.33 W, 300.00 W, 99 %, 6672 MiB, 73 %, 4, 0x0000000000000004
2026/09/14 03:50:00.721, 65, 298.51 W, 300.00 W, 95 %, 6672 MiB, 73 %, 4, 0x0000000000000004
2026/09/14 03:50:10.723, 64, 298.69 W, 300.00 W, 95 %, 6672 MiB, 73 %, 4, 0x0000000000000004
2026/09/14 03:50:20.726, 65, 298.05 W, 300.00 W, 97 %, 6672 MiB, 73 %, 4, 0x0000000000000004
2026/09/14 03:50:30.728, 65, 298.80 W, 300.00 W, 95 %, 6672 MiB, 73 %, 4, 0x0000000000000004
2026/09/14 03:50:40.730, 65, 298.39 W, 300.00 W, 92 %, 6672 MiB, 73 %, 4, 0x0000000000000004
2026/09/14 03:50:50.733, 65, 298.32 W, 300.00 W, 95 %, 6672 MiB, 73 %, 4, 0x0000000000000004
2026/09/14 03:51:00.736, 65, 297.92 W, 300.00 W, 97 %, 6672 MiB, 73 %, 4, 0x0000000000000004
2026/09/14 03:51:10.738, 65, 298.03 W, 300.00 W, 95 %, 6672 MiB, 74 %, 4, 0x0000000000000004
2026/09/14 03:51:20.740, 65, 299.20 W, 300.00 W, 94 %, 6672 MiB, 74 %, 4, 0x0000000000000004
2026/09/14 03:51:30.743, 65, 298.34 W, 300.00 W, 99 %, 6672 MiB, 74 %, 4, 0x0000000000000004
2026/09/14 03:51:40.746, 65, 297.38 W, 300.00 W, 95 %, 6672 MiB, 74 %, 4, 0x0000000000000004
2026/09/14 03:51:50.748, 65, 297.36 W, 300.00 W, 95 %, 6672 MiB, 74 %, 4, 0x0000000000000004
2026/09/14 03:52:00.751, 65, 298.39 W, 300.00 W, 96 %, 6672 MiB, 74 %, 4, 0x0000000000000004
2026/09/14 03:52:10.754, 65, 298.33 W, 300.00 W, 95 %, 6672 MiB, 74 %, 4, 0x0000000000000004
2026/09/14 03:52:20.756, 65, 298.05 W, 300.00 W, 95 %, 6672 MiB, 74 %, 4, 0x0000000000000004
2026/09/14 03:52:30.758, 65, 298.17 W, 300.00 W, 98 %, 6672 MiB, 74 %, 4, 0x0000000000000004
2026/09/14 03:52:40.760, 65, 298.04 W, 300.00 W, 95 %, 6672 MiB, 74 %, 4, 0x0000000000000004
2026/09/14 03:52:50.762, 65, 297.25 W, 300.00 W, 94 %, 6672 MiB, 74 %, 4, 0x0000000000000004
2026/09/14 03:53:00.764, 65, 297.96 W, 300.00 W, 96 %, 6672 MiB, 74 %, 4, 0x0000000000000004
2026/09/14 03:53:10.767, 65, 298.48 W, 300.00 W, 96 %, 6672 MiB, 74 %, 4, 0x0000000000000004
2026/09/14 03:53:20.769, 65, 297.69 W, 300.00 W, 97 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:53:30.772, 65, 297.55 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:53:40.774, 65, 298.34 W, 300.00 W, 94 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:53:50.777, 65, 297.68 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:54:00.779, 65, 299.13 W, 300.00 W, 94 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:54:10.781, 65, 297.65 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:54:20.783, 65, 297.81 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:54:30.785, 64, 298.27 W, 300.00 W, 97 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:54:40.788, 65, 299.29 W, 300.00 W, 94 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:54:50.790, 65, 297.65 W, 300.00 W, 97 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:55:00.793, 65, 298.12 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:55:10.795, 64, 297.60 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:55:20.798, 65, 298.01 W, 300.00 W, 98 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:55:30.800, 65, 299.37 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:55:40.802, 64, 297.49 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:55:50.804, 65, 297.75 W, 300.00 W, 99 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:56:00.807, 64, 296.83 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:56:10.809, 65, 298.14 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:56:20.812, 64, 298.55 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:56:30.815, 65, 298.01 W, 300.00 W, 92 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:56:40.817, 65, 298.48 W, 300.00 W, 99 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:56:50.820, 65, 298.57 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:57:00.822, 65, 298.00 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:57:10.825, 64, 298.49 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:57:20.827, 65, 299.33 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:57:30.829, 65, 298.55 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:57:40.832, 65, 298.67 W, 300.00 W, 96 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:57:50.834, 65, 298.86 W, 300.00 W, 96 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:58:00.837, 64, 296.94 W, 300.00 W, 94 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:58:10.839, 64, 297.36 W, 300.00 W, 99 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:58:20.841, 65, 298.32 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:58:30.844, 65, 298.32 W, 300.00 W, 99 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:58:40.846, 65, 298.36 W, 300.00 W, 93 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:58:50.848, 65, 298.65 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:59:00.851, 65, 298.08 W, 300.00 W, 95 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:59:10.853, 65, 298.96 W, 300.00 W, 94 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:59:20.856, 65, 297.06 W, 300.00 W, 96 %, 6672 MiB, 75 %, 4, 0x0000000000000004
2026/09/14 03:59:30.858, 65, 298.44 W, 300.00 W, 98 %, 6672 MiB, 75 %, 4, 0x0000000000000004
